,song_city,song_state,song_artist,song_name
101,Texas,Alabama,Ray Charles,Deep in the Heart of Texas
102,Texas,Alabama,Alabama,If You're Gonna Play in Texas (You Gotta Have a Fiddle in the Band)
103,Texas,Alabama,Bob Dylan,Drifting Texas Sand
104,Texas,Alabama,Ernest Tubb,The Texas Troubadour
105,Texas,Alabama,Mitch Miller,The Yellow Rose of Texas
106,Texas,Alabama,Alabama,If You're Gonna Play In Texas (You Gotta Have a Fiddle In the Band) [Live]
107,Texas,Alabama,Asleep at the Wheel,Way Down Texas Way
108,Texas,Alabama,Alabama,If You're Gonna Play In Texas (You Gotta Have a Fiddle In the Band)
109,Texas,Alabama,Tanya Tucker,Texas When I Die
110,Texas,Alabama,Tanya Tucker,Texas (When I Die)
111,Texas,Alabama,Asleep at the Wheel,Miles and Miles of Texas
112,Texas,Alabama,Mitch Miller,Yellow Rose of Texas
113,Texas,Alabama,Roxy Music,Prairie Rose
114,Texas,Alabama,Hank Thompson,Deep in the Heart of Texas
115,Texas,Alabama,Lyle Lovett,Long Tall Texan
116,Texas,Alabama,Neil Young,Texas Rangers
117,Texas,Alabama,"Future, Drake, Anuel AA",Desires
118,Texas,Alabama,Old 97's,W. TX Teardrops
119,Texas,Alabama,"Hank Williams, Jr.",Texas Women
120,Texas,Alabama,George Strait,I Can't See Texas from Here
121,Texas,Alabama,"Hank Williams, Jr.",Texas Women
122,Texas,Alabama,Asleep at the Wheel,Way Down Texas Way
123,Texas,Alabama,Bob Wills and His Texas Playboys,Texas Playboy Rag
124,Texas,Alabama,Big K.R.I.T.,Learned From Texas
125,Texas,Alabama,Mirah,Lone Star
126,Texas,Alabama,Ernest Tubb,There's a Little Bit of Everything in Texas
127,Texas,Alabama,Vince Gill,I'll Take Texas
128,Texas,Alabama,Mac Davis,Texas in My Rearview Mirror
129,Texas,Alabama,Garth Brooks,Cowboy Bill
130,Texas,Alabama,Mel Tillis,Texas on a Saturday Night
131,Texas,Alabama,Asleep at the Wheel,Miles and Miles of Texas
132,Texas,Alabama,Asleep at the Wheel,Miles and Miles of Texas
133,Texas,Alabama,Jerry Jeff Walker,Northeast Texas Women
134,Texas,Alabama,George Strait,Somewhere Down in Texas
135,Texas,Alabama,George Strait,West Texas Town
136,Texas,Alabama,Clint Black,I'll Take Texas
137,Texas,Alabama,Dwight Yoakam,T For Texas
138,Texas,Alabama,George Jones,It Hurts as Much in Texas (As It Did in Tennessee)
139,Texas,Alabama,Aretha Franklin,Sister from Texas
140,Texas,Alabama,Restless Heart,The Bluest Eyes in Texas
