,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
18,18, Oregon,Portland,"Portland, Oregon",Loretta Lynn and Jack White of The White Stripes [1][2],spotify:track:5KZ7xHdaC3Y4bdhgpMpYEA,46,2004-04-27,0.218,0.565,0.0,-7.816,1.0,0.0342,0.0197,4.75e-05,0.216,0.213,180.856,audio_features,5KZ7xHdaC3Y4bdhgpMpYEA,spotify:track:5KZ7xHdaC3Y4bdhgpMpYEA,https://api.spotify.com/v1/tracks/5KZ7xHdaC3Y4bdhgpMpYEA,https://api.spotify.com/v1/audio-analysis/5KZ7xHdaC3Y4bdhgpMpYEA,229441.0,4.0,
19,19, Oregon,Portland,"Portland, Oregon",Belle and Sebastian [8],spotify:track:7awPH6z6RWi4rNnLNqfjHQ,2,2018-08-31,0.589,0.738,1.0,-10.577,1.0,0.0318,0.288,0.0713,0.0814,0.909,165.917,audio_features,7awPH6z6RWi4rNnLNqfjHQ,spotify:track:7awPH6z6RWi4rNnLNqfjHQ,https://api.spotify.com/v1/tracks/7awPH6z6RWi4rNnLNqfjHQ,https://api.spotify.com/v1/audio-analysis/7awPH6z6RWi4rNnLNqfjHQ,203240.0,4.0,
20,20, Oregon,Portland,Portland Oregon You're My Home,Carrie Brownstein [9],error,error,error,,,,,,,,,,,,,,,,,,,
21,21, Oregon,Portland,Portland Rain,Everclear [3],spotify:track:4ZpxvbZDkabFqC7iViKtMA,14,2006-09-12,0.413,0.91,7.0,-2.737,0.0,0.0525,0.0117,0.0434,0.662,0.604,175.995,audio_features,4ZpxvbZDkabFqC7iViKtMA,spotify:track:4ZpxvbZDkabFqC7iViKtMA,https://api.spotify.com/v1/tracks/4ZpxvbZDkabFqC7iViKtMA,https://api.spotify.com/v1/audio-analysis/4ZpxvbZDkabFqC7iViKtMA,332093.0,4.0,
22,22, Oregon,Portland,Portland Song,Jewel [10],error,error,error,,,,,,,,,,,,,,,,,,,
23,23, Oregon,Portland,Portland Town,"Derroll Adams, later performed  Joan Baez, The Kingston Trio, and others [11]",spotify:track:3doG4LTeaSH5ouWRsr4Po8,3,2015-10-29,0.739,0.32,5.0,-18.128,1.0,0.114,0.974,0.0044,0.698,0.866,90.208,audio_features,3doG4LTeaSH5ouWRsr4Po8,spotify:track:3doG4LTeaSH5ouWRsr4Po8,https://api.spotify.com/v1/tracks/3doG4LTeaSH5ouWRsr4Po8,https://api.spotify.com/v1/audio-analysis/3doG4LTeaSH5ouWRsr4Po8,171627.0,4.0,
24,24, Oregon,Portland,Portland Water,Michael Hurley [12],spotify:track:0hkJOnhsOu76pUcdCjQujW,18,1994-09-01,0.797,0.296,7.0,-14.689,1.0,0.0342,0.646,7.81e-05,0.116,0.815,120.769,audio_features,0hkJOnhsOu76pUcdCjQujW,spotify:track:0hkJOnhsOu76pUcdCjQujW,https://api.spotify.com/v1/tracks/0hkJOnhsOu76pUcdCjQujW,https://api.spotify.com/v1/audio-analysis/0hkJOnhsOu76pUcdCjQujW,228000.0,4.0,
25,25, Oregon,Portland,Portland Woman,New Riders of the Purple Sage [2],spotify:track:58dKhfKact3Cm1BVhZe1DZ,5,1974,0.574,0.498,5.0,-12.858,1.0,0.0335,0.0291,0.000495,0.326,0.37,120.225,audio_features,58dKhfKact3Cm1BVhZe1DZ,spotify:track:58dKhfKact3Cm1BVhZe1DZ,https://api.spotify.com/v1/tracks/58dKhfKact3Cm1BVhZe1DZ,https://api.spotify.com/v1/audio-analysis/58dKhfKact3Cm1BVhZe1DZ,310693.0,4.0,
26,26, Oregon,Portland,Portlandia,Marc C. Miller [13],spotify:track:0fTbTmtuBgcWQqAXhbjjL5,0,2015-03-13,0.418,0.857,8.0,-5.472,1.0,0.472,0.278,0.0,0.0914,0.8,167.097,audio_features,0fTbTmtuBgcWQqAXhbjjL5,spotify:track:0fTbTmtuBgcWQqAXhbjjL5,https://api.spotify.com/v1/tracks/0fTbTmtuBgcWQqAXhbjjL5,https://api.spotify.com/v1/audio-analysis/0fTbTmtuBgcWQqAXhbjjL5,223857.0,4.0,
27,27, Oregon,Portland,Rambin' Blues,Woody Guthrie [14][15],error,error,error,,,,,,,,,,,,,,,,,,,
28,28, Oregon,Portland,Rose Parade,Elliott Smith [1][2],spotify:track:0Fr9IKeo8GlR3JHRF3ntxC,39,1997-02-25,0.749,0.447,2.0,-11.71,1.0,0.029,0.347,0.778,0.346,0.251,102.361,audio_features,0Fr9IKeo8GlR3JHRF3ntxC,spotify:track:0Fr9IKeo8GlR3JHRF3ntxC,https://api.spotify.com/v1/tracks/0Fr9IKeo8GlR3JHRF3ntxC,https://api.spotify.com/v1/audio-analysis/0Fr9IKeo8GlR3JHRF3ntxC,208467.0,3.0,
29,29, Oregon,Portland,Sisters of the Road,Casey Neill [2],spotify:track:2NMhVIblEgayIhojaCaBQ1,2,2005-01-25,0.443,0.497,9.0,-8.234,1.0,0.0325,0.2,1.77e-05,0.0751,0.283,137.773,audio_features,2NMhVIblEgayIhojaCaBQ1,spotify:track:2NMhVIblEgayIhojaCaBQ1,https://api.spotify.com/v1/tracks/2NMhVIblEgayIhojaCaBQ1,https://api.spotify.com/v1/audio-analysis/2NMhVIblEgayIhojaCaBQ1,284573.0,4.0,
30,30, Oregon,Portland,Solid,The Dandy Warhols; references Old Town [3],spotify:track:0NLBwQBYJhEM9t3KAMPFVR,68,1995-03-17,0.771,0.848,2.0,-7.365,1.0,0.035,0.108,0.0,0.35,0.803,115.642,audio_features,0NLBwQBYJhEM9t3KAMPFVR,spotify:track:0NLBwQBYJhEM9t3KAMPFVR,https://api.spotify.com/v1/tracks/0NLBwQBYJhEM9t3KAMPFVR,https://api.spotify.com/v1/audio-analysis/0NLBwQBYJhEM9t3KAMPFVR,152187.0,4.0,
31,31, Oregon,Portland,Viva Portland,Chad Crouch,spotify:track:6yBXLVRAiqjdeULsYXBmlE,0,1997,0.536,0.384,10.0,-16.263,1.0,0.0931,0.0752,0.795,0.172,0.348,75.845,audio_features,6yBXLVRAiqjdeULsYXBmlE,spotify:track:6yBXLVRAiqjdeULsYXBmlE,https://api.spotify.com/v1/tracks/6yBXLVRAiqjdeULsYXBmlE,https://api.spotify.com/v1/audio-analysis/6yBXLVRAiqjdeULsYXBmlE,257267.0,4.0,
32,32, Oregon,Portland,Williams Avenue,Quarterflash,spotify:track:1DSGsuGc1pP2oRO0nXqcqg,10,1981-01-01,0.572,0.372,5.0,-14.695,1.0,0.0314,0.118,0.0331,0.252,0.65,116.542,audio_features,1DSGsuGc1pP2oRO0nXqcqg,spotify:track:1DSGsuGc1pP2oRO0nXqcqg,https://api.spotify.com/v1/tracks/1DSGsuGc1pP2oRO0nXqcqg,https://api.spotify.com/v1/audio-analysis/1DSGsuGc1pP2oRO0nXqcqg,476360.0,4.0,
