,Unnamed: 0,state,city,song,artist,uris,popularity,date,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
105,106, Massachusetts,Boston,Shot Heard 'Round the World,Ween (originally from Schoolhouse Rock),spotify:track:34toDvtGot7Ewwr6iCDpst,0,2015-04-25,,0.58,0.784,1.0,-1.72,0.0,0.0413,0.138,2.11e-06,0.385,0.521,94.005,audio_features,34toDvtGot7Ewwr6iCDpst,spotify:track:34toDvtGot7Ewwr6iCDpst,https://api.spotify.com/v1/tracks/34toDvtGot7Ewwr6iCDpst,https://api.spotify.com/v1/audio-analysis/34toDvtGot7Ewwr6iCDpst,153966.0,4.0
106,107, Massachusetts,Boston,Skinhead on the MBTA,the Dropkick Murphys,spotify:track:5AtphKfJ4zmnEXOlZ2dWbW,30,1998,,0.18,0.971,9.0,-3.377,1.0,0.0932,0.00095,0.0,0.552,0.414,168.571,audio_features,5AtphKfJ4zmnEXOlZ2dWbW,spotify:track:5AtphKfJ4zmnEXOlZ2dWbW,https://api.spotify.com/v1/tracks/5AtphKfJ4zmnEXOlZ2dWbW,https://api.spotify.com/v1/audio-analysis/5AtphKfJ4zmnEXOlZ2dWbW,229200.0,4.0
107,108, Massachusetts,Boston,Still In Massachusetts,Refuse Resist,spotify:track:3lTxltATj1ICiId88ZjGFh,0,2008-08-04,,0.421,0.97,2.0,-2.864,1.0,0.0588,0.0175,0.0,0.673,0.414,105.374,audio_features,3lTxltATj1ICiId88ZjGFh,spotify:track:3lTxltATj1ICiId88ZjGFh,https://api.spotify.com/v1/tracks/3lTxltATj1ICiId88ZjGFh,https://api.spotify.com/v1/audio-analysis/3lTxltATj1ICiId88ZjGFh,165533.0,4.0
108,109, Massachusetts,Boston,Southeast of Boston,June of 44,spotify:track:4RTbpCNfC2EBXjp7i7Byyv,7,1999-06-10,,0.558,0.361,9.0,-13.418,1.0,0.0284,0.597,0.00656,0.18,0.322,79.801,audio_features,4RTbpCNfC2EBXjp7i7Byyv,spotify:track:4RTbpCNfC2EBXjp7i7Byyv,https://api.spotify.com/v1/tracks/4RTbpCNfC2EBXjp7i7Byyv,https://api.spotify.com/v1/audio-analysis/4RTbpCNfC2EBXjp7i7Byyv,313427.0,4.0
109,110, Massachusetts,Boston,South End Incident,The Beacon Street Union,error,error,error,,,,,,,,,,,,,,,,,,,
110,111, Massachusetts,Boston,Southie Is My Hometown,Freddie Hall,error,error,error,,,,,,,,,,,,,,,,,,,
111,112, Massachusetts,Boston,The State of Massachusetts,Dropkick Murphys,spotify:track:0kXpvPNNjjPsEGRg3SE0xW,53,2007-09-18,,0.398,0.967,2.0,-3.232,0.0,0.0611,0.000945,5.71e-06,0.18,0.611,111.676,audio_features,0kXpvPNNjjPsEGRg3SE0xW,spotify:track:0kXpvPNNjjPsEGRg3SE0xW,https://api.spotify.com/v1/tracks/0kXpvPNNjjPsEGRg3SE0xW,https://api.spotify.com/v1/audio-analysis/0kXpvPNNjjPsEGRg3SE0xW,232187.0,4.0
112,113, Massachusetts,Boston,Steady Riot,Big D and the Kids Table,spotify:track:59U5xqjxoTaKscW1qIXMXG,24,2007-03-20,,0.414,0.909,9.0,-3.746,1.0,0.105,0.000839,0.000106,0.0862,0.778,88.749,audio_features,59U5xqjxoTaKscW1qIXMXG,spotify:track:59U5xqjxoTaKscW1qIXMXG,https://api.spotify.com/v1/tracks/59U5xqjxoTaKscW1qIXMXG,https://api.spotify.com/v1/audio-analysis/59U5xqjxoTaKscW1qIXMXG,158493.0,4.0
113,114, Massachusetts,Boston,Subway,Mary Lou Lord,spotify:track:4NRtemO1PL8vXq5o1AudtZ,4,1998-01-27,,0.54,0.313,9.0,-9.781,1.0,0.0262,0.622,0.0,0.231,0.211,106.554,audio_features,4NRtemO1PL8vXq5o1AudtZ,spotify:track:4NRtemO1PL8vXq5o1AudtZ,https://api.spotify.com/v1/tracks/4NRtemO1PL8vXq5o1AudtZ,https://api.spotify.com/v1/audio-analysis/4NRtemO1PL8vXq5o1AudtZ,253051.0,3.0
114,115, Massachusetts,Boston,Sweet Ba James,James Taylor,spotify:track:1oht5GevPN9t1T3kG1m1GO,73,1970-02-01,,0.597,0.271,5.0,-17.293,1.0,0.0394,0.766,0.0119,0.0933,0.338,76.271,audio_features,1oht5GevPN9t1T3kG1m1GO,spotify:track:1oht5GevPN9t1T3kG1m1GO,https://api.spotify.com/v1/tracks/1oht5GevPN9t1T3kG1m1GO,https://api.spotify.com/v1/audio-analysis/1oht5GevPN9t1T3kG1m1GO,203613.0,4.0
