,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0, Iowa,Des Moines,"Des Moines, Iowa",The Milk Carton Kids,spotify:track:3RvPoMgnukUcOVVLbFQINp,22,2004-09-14,0.526,0.253,5,-20.399,1,0.0982,0.726,0.0,0.154,0.384,97.999,audio_features,3RvPoMgnukUcOVVLbFQINp,spotify:track:3RvPoMgnukUcOVVLbFQINp,https://api.spotify.com/v1/tracks/3RvPoMgnukUcOVVLbFQINp,https://api.spotify.com/v1/audio-analysis/3RvPoMgnukUcOVVLbFQINp,100187,3
1,1, Iowa,Marshalltown,Marshalltown,Modern Life Is War,spotify:track:5tZwGfgN79zumxdAnshkmE,23,2015-06-02,0.258,0.765,9,-5.058,1,0.0492,0.000488,0.112,0.0705,0.271,130.761,audio_features,5tZwGfgN79zumxdAnshkmE,spotify:track:5tZwGfgN79zumxdAnshkmE,https://api.spotify.com/v1/tracks/5tZwGfgN79zumxdAnshkmE,https://api.spotify.com/v1/audio-analysis/5tZwGfgN79zumxdAnshkmE,227760,4
2,2, Iowa,Sioux City,Sioux City Sue,recorded  Gene Autry and others,spotify:track:4xg054g9PnSAgXzInL2yrR,10,2005-01-11,0.63,0.143,7,-14.089,0,0.0628,0.841,0.0,0.0845,0.881,180.157,audio_features,4xg054g9PnSAgXzInL2yrR,spotify:track:4xg054g9PnSAgXzInL2yrR,https://api.spotify.com/v1/tracks/4xg054g9PnSAgXzInL2yrR,https://api.spotify.com/v1/audio-analysis/4xg054g9PnSAgXzInL2yrR,156733,4
3,3, Iowa,Sioux City,Terminal Grain,The Extra Lens,spotify:track:1EADkIR0K0Szf9co1E4I6v,13,2002-01-01,0.467,0.724,4,-5.596,1,0.0362,0.311,4.3e-05,0.185,0.748,160.597,audio_features,1EADkIR0K0Szf9co1E4I6v,spotify:track:1EADkIR0K0Szf9co1E4I6v,https://api.spotify.com/v1/tracks/1EADkIR0K0Szf9co1E4I6v,https://api.spotify.com/v1/audio-analysis/1EADkIR0K0Szf9co1E4I6v,118160,4
