,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
12,12, Maryland,Baltimore,Good Morning Baltimore,from Hairspray!,spotify:track:5HDLfQNN2AwAZWqzjDLxb5,41,2002-08-13,0.694,0.754,8,-5.011,1,0.0979,0.375,7.5e-05,0.215,0.648,133.063,audio_features,5HDLfQNN2AwAZWqzjDLxb5,spotify:track:5HDLfQNN2AwAZWqzjDLxb5,https://api.spotify.com/v1/tracks/5HDLfQNN2AwAZWqzjDLxb5,https://api.spotify.com/v1/audio-analysis/5HDLfQNN2AwAZWqzjDLxb5,220427,4
13,13, Maryland,Baltimore,Heaven in Baltimore,Dale Watson,spotify:track:28Ahr7EFd2Pu8xM7e8DpD3,4,2014-07-08,0.553,0.814,7,-8.858,1,0.152,0.0404,1.29e-06,0.28,0.822,188.673,audio_features,28Ahr7EFd2Pu8xM7e8DpD3,spotify:track:28Ahr7EFd2Pu8xM7e8DpD3,https://api.spotify.com/v1/tracks/28Ahr7EFd2Pu8xM7e8DpD3,https://api.spotify.com/v1/audio-analysis/28Ahr7EFd2Pu8xM7e8DpD3,93653,4
14,14, Maryland,Baltimore,Hungry Heart,Bruce Springsteen,spotify:track:1KsI8NEeAna8ZIdojI3FiT,69,1980-10-17,0.641,0.894,8,-7.41,1,0.0273,0.0857,0.009,0.157,0.972,109.823,audio_features,1KsI8NEeAna8ZIdojI3FiT,spotify:track:1KsI8NEeAna8ZIdojI3FiT,https://api.spotify.com/v1/tracks/1KsI8NEeAna8ZIdojI3FiT,https://api.spotify.com/v1/audio-analysis/1KsI8NEeAna8ZIdojI3FiT,199453,4
15,15, Maryland,Baltimore,Moonlight Feels Right,Starbuck,spotify:track:7sfMjwBcAatrNH46rn1YsK,49,1976-07-13,0.671,0.778,7,-8.11,1,0.0273,0.468,7.52e-05,0.115,0.853,120.397,audio_features,7sfMjwBcAatrNH46rn1YsK,spotify:track:7sfMjwBcAatrNH46rn1YsK,https://api.spotify.com/v1/tracks/7sfMjwBcAatrNH46rn1YsK,https://api.spotify.com/v1/audio-analysis/7sfMjwBcAatrNH46rn1YsK,221067,4
16,16, Maryland,Baltimore,Raining in Baltimore,Counting Crows,spotify:track:3RPvaTtA38cNsCNL7lXt4v,42,1993-01-01,0.348,0.115,5,-14.393,1,0.0414,0.871,0.0,0.307,0.117,86.426,audio_features,3RPvaTtA38cNsCNL7lXt4v,spotify:track:3RPvaTtA38cNsCNL7lXt4v,https://api.spotify.com/v1/tracks/3RPvaTtA38cNsCNL7lXt4v,https://api.spotify.com/v1/audio-analysis/3RPvaTtA38cNsCNL7lXt4v,280627,5
17,17, Maryland,Baltimore,Streets of Baltimore,Bob Bare,spotify:track:3kDSSR6noFrYJBxijqEVm3,44,1966-08-22,0.578,0.447,4,-14.212,1,0.032,0.629,0.0,0.19,0.808,116.128,audio_features,3kDSSR6noFrYJBxijqEVm3,spotify:track:3kDSSR6noFrYJBxijqEVm3,https://api.spotify.com/v1/tracks/3kDSSR6noFrYJBxijqEVm3,https://api.spotify.com/v1/audio-analysis/3kDSSR6noFrYJBxijqEVm3,157640,4
18,18, Maryland,Baltimore,Willie Jones,the Charlie Daniels Band,spotify:track:3bC10NHwY64PV7lSBmjZ13,18,1975,0.637,0.777,2,-8.247,1,0.034,0.364,0.0,0.326,0.633,110.376,audio_features,3bC10NHwY64PV7lSBmjZ13,spotify:track:3bC10NHwY64PV7lSBmjZ13,https://api.spotify.com/v1/tracks/3bC10NHwY64PV7lSBmjZ13,https://api.spotify.com/v1/audio-analysis/3bC10NHwY64PV7lSBmjZ13,192733,4
19,19, Maryland,Baltimore,Baltimore To Washington,Woody Guthrie & Cisco Houston,spotify:track:5disQl1XhN20HHeRjdoFY6,17,1968-01-01,0.658,0.275,4,-16.804,1,0.0352,0.982,0.0759,0.284,0.865,128.982,audio_features,5disQl1XhN20HHeRjdoFY6,spotify:track:5disQl1XhN20HHeRjdoFY6,https://api.spotify.com/v1/tracks/5disQl1XhN20HHeRjdoFY6,https://api.spotify.com/v1/audio-analysis/5disQl1XhN20HHeRjdoFY6,178373,4
20,20, Maryland,Baltimore,The Lady Came from Baltimore,Tim Hardin,spotify:track:1iFaDWLmxvN5BA24zHmIon,21,1994-01-01,0.547,0.229,0,-16.509,1,0.0366,0.473,1.21e-06,0.142,0.717,145.067,audio_features,1iFaDWLmxvN5BA24zHmIon,spotify:track:1iFaDWLmxvN5BA24zHmIon,https://api.spotify.com/v1/tracks/1iFaDWLmxvN5BA24zHmIon,https://api.spotify.com/v1/audio-analysis/1iFaDWLmxvN5BA24zHmIon,112173,4
21,21, Maryland,Baltimore,For Baltimore,All Time Low,spotify:track:6kYGBXtrbXtl1vcbmD1bWG,47,2012-10-09,0.363,0.952,11,-4.155,1,0.067,7.47e-05,0.0,0.0887,0.464,166.727,audio_features,6kYGBXtrbXtl1vcbmD1bWG,spotify:track:6kYGBXtrbXtl1vcbmD1bWG,https://api.spotify.com/v1/tracks/6kYGBXtrbXtl1vcbmD1bWG,https://api.spotify.com/v1/audio-analysis/6kYGBXtrbXtl1vcbmD1bWG,188992,4
22,22, Maryland,Baltimore,The Star-Spangled Banner,Francis Scott Key,spotify:track:7FTRr86EMdtScGKOMaAj65,15,2012-01-01,0.436,0.25,8,-14.556,1,0.0471,0.959,0.97,0.172,0.529,104.153,audio_features,7FTRr86EMdtScGKOMaAj65,spotify:track:7FTRr86EMdtScGKOMaAj65,https://api.spotify.com/v1/tracks/7FTRr86EMdtScGKOMaAj65,https://api.spotify.com/v1/audio-analysis/7FTRr86EMdtScGKOMaAj65,72227,3
