,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0, South Carolina,Charleston,Carolina,Corey Smith,spotify:track:5ZSS2XXNiVJcIApl6N2UTl,32,2011-06-21,0.596,0.682,2,-6.983,1,0.0318,0.0138,1.39e-05,0.186,0.61,107.18,audio_features,5ZSS2XXNiVJcIApl6N2UTl,spotify:track:5ZSS2XXNiVJcIApl6N2UTl,https://api.spotify.com/v1/tracks/5ZSS2XXNiVJcIApl6N2UTl,https://api.spotify.com/v1/audio-analysis/5ZSS2XXNiVJcIApl6N2UTl,189205,4
1,1, South Carolina,Charleston,Holy City,Edwin McCain,spotify:track:0ZqQrGR2HDyoHWRxoucsDp,18,1997,0.514,0.606,9,-7.544,1,0.0425,0.29,0.0,0.184,0.524,94.089,audio_features,0ZqQrGR2HDyoHWRxoucsDp,spotify:track:0ZqQrGR2HDyoHWRxoucsDp,https://api.spotify.com/v1/tracks/0ZqQrGR2HDyoHWRxoucsDp,https://api.spotify.com/v1/audio-analysis/0ZqQrGR2HDyoHWRxoucsDp,305541,4
2,2, South Carolina,Charleston,You Can Have Charleston,Darius Rucker,spotify:track:1GETqk7etM1hnULgu1mNWZ,34,2015-03-31,0.521,0.71,0,-6.867,1,0.0327,0.184,2.24e-06,0.0696,0.257,152.107,audio_features,1GETqk7etM1hnULgu1mNWZ,spotify:track:1GETqk7etM1hnULgu1mNWZ,https://api.spotify.com/v1/tracks/1GETqk7etM1hnULgu1mNWZ,https://api.spotify.com/v1/audio-analysis/1GETqk7etM1hnULgu1mNWZ,269773,4
3,3, South Carolina,Myrtle Beach,"Dancin', Shaggin' on the Boulevard",Alabama,spotify:track:4HsGYQ7IvmE2obXaK6iyxB,38,1997,0.777,0.599,9,-7.506,1,0.0248,0.275,1.75e-05,0.126,0.859,102.892,audio_features,4HsGYQ7IvmE2obXaK6iyxB,spotify:track:4HsGYQ7IvmE2obXaK6iyxB,https://api.spotify.com/v1/tracks/4HsGYQ7IvmE2obXaK6iyxB,https://api.spotify.com/v1/audio-analysis/4HsGYQ7IvmE2obXaK6iyxB,284027,4
4,4, South Carolina,Myrtle Beach,Ocean Boulevard,Band of Oz,spotify:track:1aD1PLLR95prq6TsyjZIGh,23,2010-09-03,0.536,0.724,9,-4.49,0,0.0443,0.333,0.0,0.217,0.816,130.575,audio_features,1aD1PLLR95prq6TsyjZIGh,spotify:track:1aD1PLLR95prq6TsyjZIGh,https://api.spotify.com/v1/tracks/1aD1PLLR95prq6TsyjZIGh,https://api.spotify.com/v1/audio-analysis/1aD1PLLR95prq6TsyjZIGh,182947,4
5,5, South Carolina,Myrtle Beach,19 You + Me,Dan + Shay,spotify:track:7ongSdLv28Z27WeCrzZXwB,62,2014-04-01,0.493,0.67,6,-5.131,1,0.0298,0.319,0.0,0.102,0.451,151.989,audio_features,7ongSdLv28Z27WeCrzZXwB,spotify:track:7ongSdLv28Z27WeCrzZXwB,https://api.spotify.com/v1/tracks/7ongSdLv28Z27WeCrzZXwB,https://api.spotify.com/v1/audio-analysis/7ongSdLv28Z27WeCrzZXwB,217407,3
6,6, South Carolina,Myrtle Beach,Myrtle Beach Summer 1974,Yung Gravy,spotify:track:42E6UcdoJvsLXFWfdnmKGh,55,2020-02-14,0.834,0.631,9,-8.492,1,0.053,0.0419,0.176,0.0801,0.637,142.013,audio_features,42E6UcdoJvsLXFWfdnmKGh,spotify:track:42E6UcdoJvsLXFWfdnmKGh,https://api.spotify.com/v1/tracks/42E6UcdoJvsLXFWfdnmKGh,https://api.spotify.com/v1/audio-analysis/42E6UcdoJvsLXFWfdnmKGh,128451,4
