,Unnamed: 0,state,city,song,artist,uris,popularity,date,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0, Alaska,Anchorage,Anchorage,Michelle Shocked,error,error,error,,,,,,,,,,,,,,,,,,,
1,1, Alaska,Juneau,Juneau,Port Blue,spotify:track:4WvApvScQ8ofzDIqgpScmb,51,2018-06-27,,0.941,0.551,1.0,-5.659,0.0,0.0534,0.331,2.97e-05,0.106,0.702,98.014,audio_features,4WvApvScQ8ofzDIqgpScmb,spotify:track:4WvApvScQ8ofzDIqgpScmb,https://api.spotify.com/v1/tracks/4WvApvScQ8ofzDIqgpScmb,https://api.spotify.com/v1/audio-analysis/4WvApvScQ8ofzDIqgpScmb,187965.0,4.0
2,2, Alaska,Juneau,Juneau,Funeral for a Friend,spotify:track:6GZRgyUAO1QbqEmMxH1WsH,36,2003,,0.478,0.788,4.0,-4.053,1.0,0.0325,0.000607,0.0,0.194,0.291,103.218,audio_features,6GZRgyUAO1QbqEmMxH1WsH,spotify:track:6GZRgyUAO1QbqEmMxH1WsH,https://api.spotify.com/v1/tracks/6GZRgyUAO1QbqEmMxH1WsH,https://api.spotify.com/v1/audio-analysis/6GZRgyUAO1QbqEmMxH1WsH,217693.0,4.0
