,Unnamed: 0,Unnamed: 0.1,state,city,song,artist,uris,popularity,date,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
10,10,10.0, New Mexico,Albuquerque,Space Between Us,Sister Hazel,spotify:track:2TXbRtVpJuw05Dx1N59OtA,5,1994-01-01,,,,,,,,,,,,,,,,,,,,0.699,0.721,7.0,-8.434,1.0,0.122,0.0334,2.47e-05,0.941,0.66,127.495,audio_features,2TXbRtVpJuw05Dx1N59OtA,spotify:track:2TXbRtVpJuw05Dx1N59OtA,https://api.spotify.com/v1/tracks/2TXbRtVpJuw05Dx1N59OtA,https://api.spotify.com/v1/audio-analysis/2TXbRtVpJuw05Dx1N59OtA,304000.0,4.0,
11,11,11.0, New Mexico,Albuquerque,The King of Rock 'n' Roll,Prefab Sprout,spotify:track:6QIlvgk2Q2EyalaneqSuqX,49,1988-03-14,,,,,,,,,,,,,,,,,,,,0.821,0.666,5.0,-9.067,0.0,0.0434,0.3,1.07e-06,0.0753,0.907,130.098,audio_features,6QIlvgk2Q2EyalaneqSuqX,spotify:track:6QIlvgk2Q2EyalaneqSuqX,https://api.spotify.com/v1/tracks/6QIlvgk2Q2EyalaneqSuqX,https://api.spotify.com/v1/audio-analysis/6QIlvgk2Q2EyalaneqSuqX,262133.0,4.0,
12,12,12.0, New Mexico,Albuquerque,Point Me in the Direction of Albuquerque,Tony Romeo,error,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,13.0, New Mexico,Albuquerque,The Promised Land,Chuck Berry,spotify:track:4p6j060XRLr7XCeACQLSCe,13,2006-04-18,,,,,,,,,,,,,,,,,,,,0.475,0.892,0.0,-6.61,1.0,0.0651,0.756,0.0,0.769,0.962,166.826,audio_features,4p6j060XRLr7XCeACQLSCe,spotify:track:4p6j060XRLr7XCeACQLSCe,https://api.spotify.com/v1/tracks/4p6j060XRLr7XCeACQLSCe,https://api.spotify.com/v1/audio-analysis/4p6j060XRLr7XCeACQLSCe,143373.0,4.0,
14,14,14.0, New Mexico,Albuquerque,Train Kept A Rollin',Stray Cats,spotify:track:6KXWZSsrKUXPdfDCTElPoD,27,2004-11-09,,,,,,,,,,,,,,,,,,,,0.607,0.882,4.0,-8.149,1.0,0.106,0.0989,0.0,0.0741,0.585,128.272,audio_features,6KXWZSsrKUXPdfDCTElPoD,spotify:track:6KXWZSsrKUXPdfDCTElPoD,https://api.spotify.com/v1/tracks/6KXWZSsrKUXPdfDCTElPoD,https://api.spotify.com/v1/audio-analysis/6KXWZSsrKUXPdfDCTElPoD,252480.0,4.0,
15,15,15.0, New Mexico,Albuquerque,Wanted Man,"Johnny Cash, Bob Dylan, Nick Cave",spotify:track:52rWZajfmiprmZklqkpXAR,48,1971-02-06,,,,,,,,,,,,,,,,,,,,0.713,0.459,2.0,-10.796,1.0,0.0496,0.414,1.98e-05,0.117,0.755,91.384,audio_features,52rWZajfmiprmZklqkpXAR,spotify:track:52rWZajfmiprmZklqkpXAR,https://api.spotify.com/v1/tracks/52rWZajfmiprmZklqkpXAR,https://api.spotify.com/v1/audio-analysis/52rWZajfmiprmZklqkpXAR,170840.0,4.0,
16,16,16.0, New Mexico,Santa Fe,Amarillo  Morning,George Strait,spotify:track:4TnUKixNWMfajncgdSwFoi,69,1982-01-01,,,,,,,,,,,,,,,,,,,,0.606,0.361,9.0,-16.031,1.0,0.0346,0.264,3.39e-05,0.38,0.621,121.059,audio_features,4TnUKixNWMfajncgdSwFoi,spotify:track:4TnUKixNWMfajncgdSwFoi,https://api.spotify.com/v1/tracks/4TnUKixNWMfajncgdSwFoi,https://api.spotify.com/v1/audio-analysis/4TnUKixNWMfajncgdSwFoi,173467.0,4.0,
17,17,17.0, New Mexico,Santa Fe,Drive By,Train,spotify:track:0KAiuUOrLTIkzkpfpn9jb9,75,2012-04-17,,,,,,,,,,,,,,,,,,,,0.765,0.837,1.0,-3.113,0.0,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,audio_features,0KAiuUOrLTIkzkpfpn9jb9,spotify:track:0KAiuUOrLTIkzkpfpn9jb9,https://api.spotify.com/v1/tracks/0KAiuUOrLTIkzkpfpn9jb9,https://api.spotify.com/v1/audio-analysis/0KAiuUOrLTIkzkpfpn9jb9,195973.0,4.0,
18,18,18.0, New Mexico,Santa Fe,Santa Fe,Bon Jovi,spotify:track:1wmaAfrbe1JLiyt7SpZeQU,52,1990-01-01,,,,,,,,,,,,,,,,,,,,0.518,0.507,3.0,-9.693,0.0,0.0295,0.126,0.0,0.0457,0.299,140.106,audio_features,1wmaAfrbe1JLiyt7SpZeQU,spotify:track:1wmaAfrbe1JLiyt7SpZeQU,https://api.spotify.com/v1/tracks/1wmaAfrbe1JLiyt7SpZeQU,https://api.spotify.com/v1/audio-analysis/1wmaAfrbe1JLiyt7SpZeQU,341667.0,4.0,
19,19,19.0, New Mexico,Santa Fe,Santa Fe,The Bellamy Brothers,spotify:track:3FHXKNXu9NRBJ8oijReUPq,14,2017-06-16,,,,,,,,,,,,,,,,,,,,0.479,0.434,0.0,-6.547,1.0,0.0244,0.148,0.0,0.128,0.216,142.525,audio_features,3FHXKNXu9NRBJ8oijReUPq,spotify:track:3FHXKNXu9NRBJ8oijReUPq,https://api.spotify.com/v1/tracks/3FHXKNXu9NRBJ8oijReUPq,https://api.spotify.com/v1/audio-analysis/3FHXKNXu9NRBJ8oijReUPq,223280.0,4.0,
20,20,20.0, New Mexico,Santa Fe,Santa Fe,The Bluescasters,spotify:track:0UrWr1671EJaTfJMhMvyTs,7,2010-01-07,,,,,,,,,,,,,,,,,,,,0.471,0.893,4.0,-8.289,1.0,0.0875,0.135,0.000439,0.685,0.532,139.357,audio_features,0UrWr1671EJaTfJMhMvyTs,spotify:track:0UrWr1671EJaTfJMhMvyTs,https://api.spotify.com/v1/tracks/0UrWr1671EJaTfJMhMvyTs,https://api.spotify.com/v1/audio-analysis/0UrWr1671EJaTfJMhMvyTs,291427.0,4.0,
21,21,21.0, New Mexico,Santa Fe,Santa Fe,Beirut,spotify:track:3gQZdiGlObKaY274Q3lnoH,56,2011-08-30,,,,,,,,,,,,,,,,,,,,0.728,0.679,11.0,-6.764,1.0,0.0271,0.299,0.00787,0.11,0.953,131.716,audio_features,3gQZdiGlObKaY274Q3lnoH,spotify:track:3gQZdiGlObKaY274Q3lnoH,https://api.spotify.com/v1/tracks/3gQZdiGlObKaY274Q3lnoH,https://api.spotify.com/v1/audio-analysis/3gQZdiGlObKaY274Q3lnoH,254387.0,4.0,
22,22,22.0, New Mexico,Santa Fe,Santa Fe,from Newsies,spotify:track:4KFIoI4qGOc3qnzTgXJBvb,1,2016-08-15,,,,,,,,,,,,,,,,,,,,0.519,0.216,10.0,-14.09,1.0,0.0647,0.931,0.0,0.0938,0.301,70.127,audio_features,4KFIoI4qGOc3qnzTgXJBvb,spotify:track:4KFIoI4qGOc3qnzTgXJBvb,https://api.spotify.com/v1/tracks/4KFIoI4qGOc3qnzTgXJBvb,https://api.spotify.com/v1/audio-analysis/4KFIoI4qGOc3qnzTgXJBvb,182854.0,3.0,
23,23,23.0, New Mexico,Santa Fe,Santa Fe,from Rent,spotify:track:03oRiX5lPxkiTbGsuJ9PDa,12,2005-09-27,,,,,,,,,,,,,,,,,,,,0.697,0.56,9.0,-6.926,1.0,0.121,0.594,1.71e-06,0.112,0.448,157.521,audio_features,03oRiX5lPxkiTbGsuJ9PDa,spotify:track:03oRiX5lPxkiTbGsuJ9PDa,https://api.spotify.com/v1/tracks/03oRiX5lPxkiTbGsuJ9PDa,https://api.spotify.com/v1/audio-analysis/03oRiX5lPxkiTbGsuJ9PDa,207640.0,3.0,
24,24,24.0, New Mexico,Santa Fe,Santa Fe,Bob Dylan,spotify:track:3kDONxMPikzWNH8Ax32vED,24,1991-03-26,,,,,,,,,,,,,,,,,,,,0.332,0.591,9.0,-9.209,1.0,0.0822,0.909,0.0119,0.179,0.854,187.443,audio_features,3kDONxMPikzWNH8Ax32vED,spotify:track:3kDONxMPikzWNH8Ax32vED,https://api.spotify.com/v1/tracks/3kDONxMPikzWNH8Ax32vED,https://api.spotify.com/v1/audio-analysis/3kDONxMPikzWNH8Ax32vED,128333.0,4.0,
25,25,25.0, New Mexico,Santa Fe,Me and My Uncle,Grateful Dead,spotify:track:2mliKZOmPLLA5CmylylPzI,34,2013-09-13,,,,,,,,,,,,,,,,,,,,0.729,0.722,11.0,-11.581,0.0,0.0353,0.755,0.374,0.14,0.871,111.558,audio_features,2mliKZOmPLLA5CmylylPzI,spotify:track:2mliKZOmPLLA5CmylylPzI,https://api.spotify.com/v1/tracks/2mliKZOmPLLA5CmylylPzI,https://api.spotify.com/v1/audio-analysis/2mliKZOmPLLA5CmylylPzI,195640.0,4.0,
26,26,26.0, New Mexico,Santa Fe,Oblivion,Mudhoney,spotify:track:3m73gfjtOCff0g6FnBiwrF,11,1998-09-11,,,,,,,,,,,,,,,,,,,,0.318,0.75,6.0,-6.99,0.0,0.064,0.00222,0.000236,0.447,0.335,133.812,audio_features,3m73gfjtOCff0g6FnBiwrF,spotify:track:3m73gfjtOCff0g6FnBiwrF,https://api.spotify.com/v1/tracks/3m73gfjtOCff0g6FnBiwrF,https://api.spotify.com/v1/audio-analysis/3m73gfjtOCff0g6FnBiwrF,207560.0,4.0,
