,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0, Kansas,Abilene,Abilene,George Hamilton IV,spotify:track:5bA26v8eeZrbHJpD4YPKAX,47,1963-12-17,0.63,0.448,5,-15.015,1,0.0271,0.445,1.43e-05,0.271,0.753,104.024,audio_features,5bA26v8eeZrbHJpD4YPKAX,spotify:track:5bA26v8eeZrbHJpD4YPKAX,https://api.spotify.com/v1/tracks/5bA26v8eeZrbHJpD4YPKAX,https://api.spotify.com/v1/audio-analysis/5bA26v8eeZrbHJpD4YPKAX,133333,4
1,1, Kansas,Topeka,Topeka,Ludo,spotify:track:11iIAuijcM75G1QFheDgbS,32,2007-01-01,0.556,0.561,11,-3.672,1,0.0275,0.0157,0.0,0.185,0.39,92.974,audio_features,11iIAuijcM75G1QFheDgbS,spotify:track:11iIAuijcM75G1QFheDgbS,https://api.spotify.com/v1/tracks/11iIAuijcM75G1QFheDgbS,https://api.spotify.com/v1/audio-analysis/11iIAuijcM75G1QFheDgbS,184347,4
2,2, Kansas,Wichita,Seven Nation Army,White Stripes,spotify:track:7i6r9KotUPQg3ozKKgEPIN,74,2003-04-01,0.737,0.463,0,-7.828,1,0.0792,0.00817,0.447,0.255,0.324,123.881,audio_features,7i6r9KotUPQg3ozKKgEPIN,spotify:track:7i6r9KotUPQg3ozKKgEPIN,https://api.spotify.com/v1/tracks/7i6r9KotUPQg3ozKKgEPIN,https://api.spotify.com/v1/audio-analysis/7i6r9KotUPQg3ozKKgEPIN,231733,4
3,3, Kansas,Wichita,True Dreams of Wichita,Soul Coughing,spotify:track:0XxkoXS5CSHzKFeS6N8sga,36,1994-09-20,0.616,0.297,7,-16.913,1,0.0464,0.601,0.0054,0.11,0.12,87.971,audio_features,0XxkoXS5CSHzKFeS6N8sga,spotify:track:0XxkoXS5CSHzKFeS6N8sga,https://api.spotify.com/v1/tracks/0XxkoXS5CSHzKFeS6N8sga,https://api.spotify.com/v1/audio-analysis/0XxkoXS5CSHzKFeS6N8sga,300107,4
4,4, Kansas,Wichita,Wichita,Gillian Welch,spotify:track:4HPlsXlYSdssG62OYwUTou,30,2016-11-25,0.741,0.334,0,-9.201,1,0.0288,0.885,0.214,0.109,0.687,93.639,audio_features,4HPlsXlYSdssG62OYwUTou,spotify:track:4HPlsXlYSdssG62OYwUTou,https://api.spotify.com/v1/tracks/4HPlsXlYSdssG62OYwUTou,https://api.spotify.com/v1/audio-analysis/4HPlsXlYSdssG62OYwUTou,170723,4
5,5, Kansas,Wichita,Wichita Cathedral,Butthole Surfers,spotify:track:5ybPsozlz9H4q4VbOMLwR8,14,2002,0.417,0.738,9,-4.649,1,0.0331,0.0158,0.000882,0.121,0.638,105.45,audio_features,5ybPsozlz9H4q4VbOMLwR8,spotify:track:5ybPsozlz9H4q4VbOMLwR8,https://api.spotify.com/v1/tracks/5ybPsozlz9H4q4VbOMLwR8,https://api.spotify.com/v1/audio-analysis/5ybPsozlz9H4q4VbOMLwR8,142800,4
6,6, Kansas,Wichita,Wichita Lineman,Glen Campbell,spotify:track:6V9VCm1zOY2lGR80RehJ9i,64,1968,0.192,0.392,5,-11.667,1,0.0328,0.326,0.000199,0.248,0.391,172.312,audio_features,6V9VCm1zOY2lGR80RehJ9i,spotify:track:6V9VCm1zOY2lGR80RehJ9i,https://api.spotify.com/v1/tracks/6V9VCm1zOY2lGR80RehJ9i,https://api.spotify.com/v1/audio-analysis/6V9VCm1zOY2lGR80RehJ9i,186200,4
7,7, Kansas,Wichita,Wichita Skyline,Shawn Colvin,spotify:track:4mtRuEDlwvtnsge8Owi22c,23,1996-09-30,0.437,0.488,5,-10.133,1,0.0319,0.498,0.0148,0.132,0.383,172.506,audio_features,4mtRuEDlwvtnsge8Owi22c,spotify:track:4mtRuEDlwvtnsge8Owi22c,https://api.spotify.com/v1/tracks/4mtRuEDlwvtnsge8Owi22c,https://api.spotify.com/v1/audio-analysis/4mtRuEDlwvtnsge8Owi22c,218707,4
