,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
12,12, Nevada,Las Vegas,Vegas,Calvin Harris,spotify:track:5Lx3yHmFZF0aQ2hbb245l1,21,2007-06-15,0.692,0.946,7,-5.991,1,0.0446,0.000428,0.61,0.0937,0.973,127.966,audio_features,5Lx3yHmFZF0aQ2hbb245l1,spotify:track:5Lx3yHmFZF0aQ2hbb245l1,https://api.spotify.com/v1/tracks/5Lx3yHmFZF0aQ2hbb245l1,https://api.spotify.com/v1/audio-analysis/5Lx3yHmFZF0aQ2hbb245l1,341760,4
13,13, Nevada,Las Vegas,Vegas Lights,Panic! At The Disco,spotify:track:0zewUY3RSh8yaV7q66Okem,60,2013-10-04,0.68,0.847,5,-5.987,1,0.0449,0.000433,0.0,0.331,0.834,123.96,audio_features,0zewUY3RSh8yaV7q66Okem,spotify:track:0zewUY3RSh8yaV7q66Okem,https://api.spotify.com/v1/tracks/0zewUY3RSh8yaV7q66Okem,https://api.spotify.com/v1/audio-analysis/0zewUY3RSh8yaV7q66Okem,189107,4
14,14, Nevada,Las Vegas,Viva Las Vegas,Elvis Presley,spotify:track:5Q7ayTarb9Tpmkik5cVMug,59,1968-01-22,0.608,0.567,7,-11.297,1,0.0445,0.819,0.0,0.344,0.861,144.034,audio_features,5Q7ayTarb9Tpmkik5cVMug,spotify:track:5Q7ayTarb9Tpmkik5cVMug,https://api.spotify.com/v1/tracks/5Q7ayTarb9Tpmkik5cVMug,https://api.spotify.com/v1/audio-analysis/5Q7ayTarb9Tpmkik5cVMug,144840,4
15,15, Nevada,Las Vegas,Waking Up in Vegas,Katy Perry,spotify:track:6fvxos1qSHrIgOkKw4dhWS,55,2008-06-17,0.524,0.878,5,-3.108,0,0.0346,0.0012,0.0,0.098,0.59,130.989,audio_features,6fvxos1qSHrIgOkKw4dhWS,spotify:track:6fvxos1qSHrIgOkKw4dhWS,https://api.spotify.com/v1/tracks/6fvxos1qSHrIgOkKw4dhWS,https://api.spotify.com/v1/audio-analysis/6fvxos1qSHrIgOkKw4dhWS,199187,4
16,16, Nevada,Las Vegas,Welcome to Fabulous Las Vegas,Brandon Flowers,spotify:track:35uvFjZWknhCYKkL9DbUFO,34,2010-01-01,0.456,0.702,3,-8.957,1,0.0351,0.0763,0.00168,0.0914,0.289,125.979,audio_features,35uvFjZWknhCYKkL9DbUFO,spotify:track:35uvFjZWknhCYKkL9DbUFO,https://api.spotify.com/v1/tracks/35uvFjZWknhCYKkL9DbUFO,https://api.spotify.com/v1/audio-analysis/35uvFjZWknhCYKkL9DbUFO,287947,4
17,17, Nevada,Reno,Reno Bound,Southern Pacific,spotify:track:77oMUkg3U7wlgAMULLY5u9,13,1985,0.538,0.922,9,-5.881,1,0.0524,0.00327,0.00432,0.042,0.822,191.365,audio_features,77oMUkg3U7wlgAMULLY5u9,spotify:track:77oMUkg3U7wlgAMULLY5u9,https://api.spotify.com/v1/tracks/77oMUkg3U7wlgAMULLY5u9,https://api.spotify.com/v1/audio-analysis/77oMUkg3U7wlgAMULLY5u9,203813,4
18,18, Nevada,Reno,Folsom Prison Blues,Johnny Cash,spotify:track:2fDHuS1PTkHBbCWWZF1ph9,70,1968-05-01,0.621,0.524,0,-15.269,1,0.0803,0.0652,0.00199,0.893,0.889,110.586,audio_features,2fDHuS1PTkHBbCWWZF1ph9,spotify:track:2fDHuS1PTkHBbCWWZF1ph9,https://api.spotify.com/v1/tracks/2fDHuS1PTkHBbCWWZF1ph9,https://api.spotify.com/v1/audio-analysis/2fDHuS1PTkHBbCWWZF1ph9,162653,4
19,19, Nevada,Reno,Don't go Down to Reno,Tony Christie,spotify:track:4KwE2HjyrmMe4VGZuFtxc5,30,2005-01-01,0.595,0.611,0,-8.332,1,0.0347,0.476,4.79e-05,0.383,0.848,128.403,audio_features,4KwE2HjyrmMe4VGZuFtxc5,spotify:track:4KwE2HjyrmMe4VGZuFtxc5,https://api.spotify.com/v1/tracks/4KwE2HjyrmMe4VGZuFtxc5,https://api.spotify.com/v1/audio-analysis/4KwE2HjyrmMe4VGZuFtxc5,200933,4
20,20, Nevada,Reno,All the Way to Reno (You're Gonna Be a Star),R.E.M.,spotify:track:1PMstGcKy2kWEbDvG9lUzy,36,2001-01-01,0.397,0.809,5,-4.11,1,0.0299,0.026,4.44e-05,0.276,0.698,204.013,audio_features,1PMstGcKy2kWEbDvG9lUzy,spotify:track:1PMstGcKy2kWEbDvG9lUzy,https://api.spotify.com/v1/tracks/1PMstGcKy2kWEbDvG9lUzy,https://api.spotify.com/v1/audio-analysis/1PMstGcKy2kWEbDvG9lUzy,283960,4
21,21, Nevada,Reno,Friend of the Devil,The Grateful Dead,spotify:track:5ZLzl6T8JwqMTMdoE0nCbU,65,1970-06-01,0.642,0.628,7,-12.849,1,0.0358,0.334,8.29e-06,0.614,0.893,103.317,audio_features,5ZLzl6T8JwqMTMdoE0nCbU,spotify:track:5ZLzl6T8JwqMTMdoE0nCbU,https://api.spotify.com/v1/tracks/5ZLzl6T8JwqMTMdoE0nCbU,https://api.spotify.com/v1/audio-analysis/5ZLzl6T8JwqMTMdoE0nCbU,201867,4
22,22, Nevada,Reno,"Reno, Reno, Reno",Jonathan Richman,spotify:track:4kqINPDnMweHi7RQFyrbvb,16,1990-01-01,0.628,0.633,6,-11.408,1,0.0322,0.656,0.0,0.0985,0.808,89.455,audio_features,4kqINPDnMweHi7RQFyrbvb,spotify:track:4kqINPDnMweHi7RQFyrbvb,https://api.spotify.com/v1/tracks/4kqINPDnMweHi7RQFyrbvb,https://api.spotify.com/v1/audio-analysis/4kqINPDnMweHi7RQFyrbvb,240707,4
23,23, Nevada,Reno,Reno Blues,Willie Dixon,spotify:track:1BnXFCpPa2GQsRxQGDdaz6,6,2020-02-11,0.819,0.514,2,-8.141,0,0.103,0.942,5.26e-06,0.327,0.784,102.695,audio_features,1BnXFCpPa2GQsRxQGDdaz6,spotify:track:1BnXFCpPa2GQsRxQGDdaz6,https://api.spotify.com/v1/tracks/1BnXFCpPa2GQsRxQGDdaz6,https://api.spotify.com/v1/audio-analysis/1BnXFCpPa2GQsRxQGDdaz6,181500,4
