,song_state,song_artist,song_name,uris,duration_ms,popularity,date
55,New York,Desiigner,LA to NY,spotify:track:5nqJBdFGKzBR6vl6YYlDJU,187340,35,2018-05-04
56,New York,Frank Sinatra,"Theme From New York, New York",spotify:track:4ODWgs1CVAZKDbryEodjiz,204146,66,2015-04-21
57,New York,Frank Sinatra,"Theme from New York, New York",spotify:track:4ODWgs1CVAZKDbryEodjiz,204146,66,2015-04-21
58,New York,101 Strings Orchestra,"Theme from New York, New York",spotify:track:4grHeM2pC3ir8rHdbYEFCM,203173,17,1983-11-03
59,New York,Ella Fitzgerald,Autumn in New York,spotify:track:0f2489MzoisF9pKduawvce,356626,55,1957-02-25
60,New York,Sarah Vaughan,Autumn in New York,spotify:track:6OzGHBKjTKYHqrmTB5ELYK,199026,30,1958-07-07
61,New York,Louis Armstrong,Autumn in New York,spotify:track:0f2489MzoisF9pKduawvce,356626,55,1957-02-25
62,New York,Jo Stafford,Autumn in New York,spotify:track:0wImv3pyI9WuKSmT1C1a9q,159853,22,2010-01-01
63,New York,The Doobie Brothers,8th Avenue Shuffle,spotify:track:7t9TKKj8WrhMiNwP3yD9Yx,284160,33,1976-03-12
64,New York,Black Box,Native New Yorker,spotify:track:2jSImyE5vU23jxbDKKGWMa,273600,23,1996-09-16
65,New York,"Alicia Keys, Nancy McClean",New York City Girl,error,error,error,error
66,New York,Johnny Mathis,Autumn in New York,spotify:track:7r5nRH27N5DwKANuhVxfCd,291800,2,1963-06-01
67,New York,Boney M.,New York City,spotify:track:70j2VozTYrP476lvZPQUq8,223160,24,1976
68,New York,Rosemary Clooney,Autumn in New York,spotify:track:090TDvUSOgV9ZM5GFNhibU,287306,2,1992-01-01
69,New York,Liza Minnelli,"New York, New York",spotify:track:6J7BvGTh7AVL2fo10YCoc1,197253,44,2009-01-01
70,New York,Fear,New York's Alright If You Like Saxophones,spotify:track:6bjYA8eNwYLpNJoZK7G1Z1,128160,28,1981-01-01
71,New York,Steve Lawrence,"New York, New York",spotify:track:41v7tP1rVzGaO4y8csn9bs,205626,18,2008-10-01
72,New York,Paul Mauriat,"New York, New York",spotify:track:3LAgiBAMH3NVpAnGEA3ZCO,203573,11,1988-02-29
73,New York,Nas,"N.Y. State of Mind, Pt. 2",error,error,error,error
74,New York,Liza Minnelli,New York New York,spotify:track:6J7BvGTh7AVL2fo10YCoc1,197253,44,2009-01-01
75,New York,Max,Still New York,spotify:track:4txpZk7WSjV1dsZAw5WYcT,224914,58,2018-06-26
76,New York,Charles Trénet,Grand-maman c'est New York,spotify:track:4h62GIS4pIhMGkkyoF2jlt,194653,3,2017-10-12
77,New York,Helen Merrill,Autumn in New York,error,error,error,error
78,New York,Paul Weston,Autumn in New York,spotify:track:5tFlUxVRvWjzNm6LXcJ17S,193706,9,2010-01-01
79,New York,Arthur Prysock,Autumn in New York,spotify:track:64TCUQPB3Q2wTPvXTFPpgx,185666,2,1988
80,New York,Eagles,New York Minute,spotify:track:56awWXMn89K8w6sQMvmE75,397666,44,1994-11-08
81,New York,Sarah Vaughan,Autumn New York {From Thumbs Up},error,error,error,error
82,New York,Peggy Lee,Autumn in New York,spotify:track:5BaiE099Ker7p5WE429N8r,148786,11,2017-11-03
83,New York,"Harry Connick, Jr.",Autumn in New York,spotify:track:3G9pKQL2daAyy4BJDz5nAw,167666,30,1989-07-25
84,New York,Michael Bolton,New York New York,spotify:track:1hosm7RtBSM2YiJ3qC5fHz,357066,37,2011-06-14
85,New York,Joe Pass,'Tis Autumn,spotify:track:7EnTL86j0jXu2IHEw14piE,306466,24,1976-01-01
86,New York,Jimmy Reed,Going to New York,spotify:track:1H2hHEQEVw0rHJLTPf2IhQ,139933,5,2018-07-24
87,New York,Gordon Lightfoot,Cold Hands from New York,spotify:track:1vWwK1GTegqOsgxIKBYzOO,318733,10,1968-11-01
