,Unnamed: 0,Unnamed: 0.1,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
10,10,10,Wyoming,Wyoming,The Kingston Trio,Dogie's Lament,spotify:track:7GHgNKlLIe8cmmwbMonfSN,14,1962-11-07,0.643,0.35200000000000004,0.0,-14.017999999999999,1.0,0.0267,0.9440000000000001,2.69e-06,0.147,0.594,95.234,audio_features,7GHgNKlLIe8cmmwbMonfSN,spotify:track:7GHgNKlLIe8cmmwbMonfSN,https://api.spotify.com/v1/tracks/7GHgNKlLIe8cmmwbMonfSN,https://api.spotify.com/v1/audio-analysis/7GHgNKlLIe8cmmwbMonfSN,138893.0,4.0,,0.643,0.352,0.0,-14.018,1.0,0.0267,0.944,2.69e-06,0.147,0.594,95.234,audio_features,7GHgNKlLIe8cmmwbMonfSN,spotify:track:7GHgNKlLIe8cmmwbMonfSN,https://api.spotify.com/v1/tracks/7GHgNKlLIe8cmmwbMonfSN,https://api.spotify.com/v1/audio-analysis/7GHgNKlLIe8cmmwbMonfSN,138893.0,4.0,
11,11,11,Wyoming,Wyoming,Los Tigres del Norte,Somos Más Americanos,spotify:track:0kBFfb1T2aCkhSJUIo56Mz,50,2011-01-01,0.557,0.628,7.0,-6.642,1.0,0.0405,0.222,0.0,0.7070000000000001,0.617,109.456,audio_features,0kBFfb1T2aCkhSJUIo56Mz,spotify:track:0kBFfb1T2aCkhSJUIo56Mz,https://api.spotify.com/v1/tracks/0kBFfb1T2aCkhSJUIo56Mz,https://api.spotify.com/v1/audio-analysis/0kBFfb1T2aCkhSJUIo56Mz,250080.0,4.0,,0.557,0.628,7.0,-6.642,1.0,0.0405,0.222,0.0,0.707,0.617,109.456,audio_features,0kBFfb1T2aCkhSJUIo56Mz,spotify:track:0kBFfb1T2aCkhSJUIo56Mz,https://api.spotify.com/v1/tracks/0kBFfb1T2aCkhSJUIo56Mz,https://api.spotify.com/v1/audio-analysis/0kBFfb1T2aCkhSJUIo56Mz,250080.0,4.0,
12,12,12,Wyoming,Wyoming,Elton John,American Triangle,spotify:track:6mCmViyyn4V3Teh5M6LUuU,24,2001-10-01,0.6679999999999999,0.5329999999999999,0.0,-7.215,0.0,0.0261,0.413,0.0014199999999999998,0.0959,0.217,128.991,audio_features,6mCmViyyn4V3Teh5M6LUuU,spotify:track:6mCmViyyn4V3Teh5M6LUuU,https://api.spotify.com/v1/tracks/6mCmViyyn4V3Teh5M6LUuU,https://api.spotify.com/v1/audio-analysis/6mCmViyyn4V3Teh5M6LUuU,289013.0,4.0,,0.668,0.533,0.0,-7.215,0.0,0.0261,0.413,0.00142,0.0959,0.217,128.991,audio_features,6mCmViyyn4V3Teh5M6LUuU,spotify:track:6mCmViyyn4V3Teh5M6LUuU,https://api.spotify.com/v1/tracks/6mCmViyyn4V3Teh5M6LUuU,https://api.spotify.com/v1/audio-analysis/6mCmViyyn4V3Teh5M6LUuU,289013.0,4.0,
13,13,13,Wyoming,Wyoming,Emmylou Harris,Nebraska,spotify:track:1n4p6p4YGc6utYYaeLG8XK,0,2001-01-01,0.45299999999999996,0.424,0.0,-6.151,1.0,0.026000000000000002,0.617,0.00016299999999999998,0.129,0.276,92.62,audio_features,1n4p6p4YGc6utYYaeLG8XK,spotify:track:1n4p6p4YGc6utYYaeLG8XK,https://api.spotify.com/v1/tracks/1n4p6p4YGc6utYYaeLG8XK,https://api.spotify.com/v1/audio-analysis/1n4p6p4YGc6utYYaeLG8XK,210907.0,3.0,,0.453,0.424,0.0,-6.151,1.0,0.026,0.617,0.000163,0.129,0.276,92.62,audio_features,1n4p6p4YGc6utYYaeLG8XK,spotify:track:1n4p6p4YGc6utYYaeLG8XK,https://api.spotify.com/v1/tracks/1n4p6p4YGc6utYYaeLG8XK,https://api.spotify.com/v1/audio-analysis/1n4p6p4YGc6utYYaeLG8XK,210907.0,3.0,
14,14,14,Wyoming,Wyoming,John Denver,Whiskey Basin Blues,spotify:track:36L7I2kz2Lx5S4QYljOgZc,14,1973,0.475,0.29,7.0,-15.369000000000002,1.0,0.0295,0.82,0.000383,0.0879,0.494,62.2,audio_features,36L7I2kz2Lx5S4QYljOgZc,spotify:track:36L7I2kz2Lx5S4QYljOgZc,https://api.spotify.com/v1/tracks/36L7I2kz2Lx5S4QYljOgZc,https://api.spotify.com/v1/audio-analysis/36L7I2kz2Lx5S4QYljOgZc,167800.0,4.0,,0.475,0.29,7.0,-15.369,1.0,0.0295,0.82,0.000383,0.0879,0.494,62.2,audio_features,36L7I2kz2Lx5S4QYljOgZc,spotify:track:36L7I2kz2Lx5S4QYljOgZc,https://api.spotify.com/v1/tracks/36L7I2kz2Lx5S4QYljOgZc,https://api.spotify.com/v1/audio-analysis/36L7I2kz2Lx5S4QYljOgZc,167800.0,4.0,
15,15,15,Wyoming,Wyoming,Roy Orbison,Cheyenne,spotify:track:7KkfYURx8XJimnZuHeWfxC,6,1972-01-01,0.7240000000000001,0.787,9.0,-7.557,1.0,0.0576,0.0138,3.85e-05,0.0946,0.961,140.154,audio_features,7KkfYURx8XJimnZuHeWfxC,spotify:track:7KkfYURx8XJimnZuHeWfxC,https://api.spotify.com/v1/tracks/7KkfYURx8XJimnZuHeWfxC,https://api.spotify.com/v1/audio-analysis/7KkfYURx8XJimnZuHeWfxC,127373.0,4.0,,0.724,0.787,9.0,-7.557,1.0,0.0576,0.0138,3.85e-05,0.0946,0.961,140.154,audio_features,7KkfYURx8XJimnZuHeWfxC,spotify:track:7KkfYURx8XJimnZuHeWfxC,https://api.spotify.com/v1/tracks/7KkfYURx8XJimnZuHeWfxC,https://api.spotify.com/v1/audio-analysis/7KkfYURx8XJimnZuHeWfxC,127373.0,4.0,
16,16,16,Wyoming,Wyoming,Waylon Jennings,Old Timer (The Song),spotify:track:5NiZFsh0AHV6eVQSwGwTsS,13,1994-09-13,0.563,0.284,7.0,-12.972000000000001,1.0,0.0632,0.711,0.00037,0.121,0.19899999999999998,104.01299999999999,audio_features,5NiZFsh0AHV6eVQSwGwTsS,spotify:track:5NiZFsh0AHV6eVQSwGwTsS,https://api.spotify.com/v1/tracks/5NiZFsh0AHV6eVQSwGwTsS,https://api.spotify.com/v1/audio-analysis/5NiZFsh0AHV6eVQSwGwTsS,331640.0,4.0,,0.563,0.284,7.0,-12.972,1.0,0.0632,0.711,0.00037,0.121,0.199,104.013,audio_features,5NiZFsh0AHV6eVQSwGwTsS,spotify:track:5NiZFsh0AHV6eVQSwGwTsS,https://api.spotify.com/v1/tracks/5NiZFsh0AHV6eVQSwGwTsS,https://api.spotify.com/v1/audio-analysis/5NiZFsh0AHV6eVQSwGwTsS,331640.0,4.0,
17,17,17,Wyoming,Wyoming,"Hank Williams, Jr.","Cut Bank, Montana",spotify:track:5GCOArhD0x9mDOq1BSFaMY,24,1992,0.5710000000000001,0.35,2.0,-11.035,1.0,0.0297,0.34,8.76e-06,0.122,0.318,144.739,audio_features,5GCOArhD0x9mDOq1BSFaMY,spotify:track:5GCOArhD0x9mDOq1BSFaMY,https://api.spotify.com/v1/tracks/5GCOArhD0x9mDOq1BSFaMY,https://api.spotify.com/v1/audio-analysis/5GCOArhD0x9mDOq1BSFaMY,281667.0,3.0,,0.571,0.35,2.0,-11.035,1.0,0.0297,0.34,8.76e-06,0.122,0.318,144.739,audio_features,5GCOArhD0x9mDOq1BSFaMY,spotify:track:5GCOArhD0x9mDOq1BSFaMY,https://api.spotify.com/v1/tracks/5GCOArhD0x9mDOq1BSFaMY,https://api.spotify.com/v1/audio-analysis/5GCOArhD0x9mDOq1BSFaMY,281667.0,3.0,
18,18,18,Wyoming,Wyoming,Lil Wayne,Trap House,spotify:track:2Pa9WSbTgdCp3NzjBrLJpA,35,2018-09-11,0.883,0.625,1.0,-8.399,1.0,0.23800000000000002,0.19899999999999998,0.0,0.289,0.7440000000000001,160.048,audio_features,2Pa9WSbTgdCp3NzjBrLJpA,spotify:track:2Pa9WSbTgdCp3NzjBrLJpA,https://api.spotify.com/v1/tracks/2Pa9WSbTgdCp3NzjBrLJpA,https://api.spotify.com/v1/audio-analysis/2Pa9WSbTgdCp3NzjBrLJpA,158520.0,4.0,,0.883,0.625,1.0,-8.399,1.0,0.238,0.199,0.0,0.289,0.744,160.048,audio_features,2Pa9WSbTgdCp3NzjBrLJpA,spotify:track:2Pa9WSbTgdCp3NzjBrLJpA,https://api.spotify.com/v1/tracks/2Pa9WSbTgdCp3NzjBrLJpA,https://api.spotify.com/v1/audio-analysis/2Pa9WSbTgdCp3NzjBrLJpA,158520.0,4.0,
19,19,19,Wyoming,Wyoming,Garth Brooks,Good Ride Cowboy,spotify:track:4CsuzwPDmdI9VNx0577gUE,19,2017-10-26,0.56,0.8420000000000001,9.0,-2.185,1.0,0.054000000000000006,0.607,0.0,0.488,0.5920000000000001,132.233,audio_features,4CsuzwPDmdI9VNx0577gUE,spotify:track:4CsuzwPDmdI9VNx0577gUE,https://api.spotify.com/v1/tracks/4CsuzwPDmdI9VNx0577gUE,https://api.spotify.com/v1/audio-analysis/4CsuzwPDmdI9VNx0577gUE,202962.0,4.0,,0.56,0.842,9.0,-2.185,1.0,0.054,0.607,0.0,0.488,0.592,132.233,audio_features,4CsuzwPDmdI9VNx0577gUE,spotify:track:4CsuzwPDmdI9VNx0577gUE,https://api.spotify.com/v1/tracks/4CsuzwPDmdI9VNx0577gUE,https://api.spotify.com/v1/audio-analysis/4CsuzwPDmdI9VNx0577gUE,202962.0,4.0,
20,20,20,Wyoming,Wyoming,Allan Sherman,Holiday for States,spotify:track:1rXVU5w2M16RULGVoqp6y9,4,2005-02-08,0.556,0.609,9.0,-7.494,1.0,0.489,0.8590000000000001,0.0,0.727,0.6659999999999999,81.688,audio_features,1rXVU5w2M16RULGVoqp6y9,spotify:track:1rXVU5w2M16RULGVoqp6y9,https://api.spotify.com/v1/tracks/1rXVU5w2M16RULGVoqp6y9,https://api.spotify.com/v1/audio-analysis/1rXVU5w2M16RULGVoqp6y9,95800.0,4.0,,0.556,0.609,9.0,-7.494,1.0,0.489,0.859,0.0,0.727,0.666,81.688,audio_features,1rXVU5w2M16RULGVoqp6y9,spotify:track:1rXVU5w2M16RULGVoqp6y9,https://api.spotify.com/v1/tracks/1rXVU5w2M16RULGVoqp6y9,https://api.spotify.com/v1/audio-analysis/1rXVU5w2M16RULGVoqp6y9,95800.0,4.0,
21,21,21,Wyoming,Wyoming,Busta Rhymes,Everybody Rise Again,spotify:track:6nJyg6asDkAqfJNSbKaW9z,33,2001-11-07,0.7559999999999999,0.912,6.0,-2.7760000000000002,0.0,0.317,0.0962,0.0,0.29600000000000004,0.7020000000000001,92.214,audio_features,6nJyg6asDkAqfJNSbKaW9z,spotify:track:6nJyg6asDkAqfJNSbKaW9z,https://api.spotify.com/v1/tracks/6nJyg6asDkAqfJNSbKaW9z,https://api.spotify.com/v1/audio-analysis/6nJyg6asDkAqfJNSbKaW9z,253773.0,4.0,,0.756,0.912,6.0,-2.776,0.0,0.317,0.0962,0.0,0.296,0.702,92.214,audio_features,6nJyg6asDkAqfJNSbKaW9z,spotify:track:6nJyg6asDkAqfJNSbKaW9z,https://api.spotify.com/v1/tracks/6nJyg6asDkAqfJNSbKaW9z,https://api.spotify.com/v1/audio-analysis/6nJyg6asDkAqfJNSbKaW9z,253773.0,4.0,
22,22,22,Wyoming,Wyoming,Chris Young,Neon,spotify:track:575wNG8uXiF5jjaSdWqdxZ,51,2011-07-11,0.6,0.599,0.0,-6.102,1.0,0.0276,0.401,0.0,0.102,0.496,99.05,audio_features,575wNG8uXiF5jjaSdWqdxZ,spotify:track:575wNG8uXiF5jjaSdWqdxZ,https://api.spotify.com/v1/tracks/575wNG8uXiF5jjaSdWqdxZ,https://api.spotify.com/v1/audio-analysis/575wNG8uXiF5jjaSdWqdxZ,224160.0,4.0,,0.6,0.599,0.0,-6.102,1.0,0.0276,0.401,0.0,0.102,0.496,99.05,audio_features,575wNG8uXiF5jjaSdWqdxZ,spotify:track:575wNG8uXiF5jjaSdWqdxZ,https://api.spotify.com/v1/tracks/575wNG8uXiF5jjaSdWqdxZ,https://api.spotify.com/v1/audio-analysis/575wNG8uXiF5jjaSdWqdxZ,224160.0,4.0,
23,23,23,Wyoming,Wyoming,Mary Chapin Carpenter,Livingston,spotify:track:2VGz5oPOJdV2m0lR3aU6hP,20,2016-05-06,0.501,0.243,5.0,-16.605999999999998,1.0,0.0328,0.614,0.0017699999999999999,0.0969,0.373,137.673,audio_features,2VGz5oPOJdV2m0lR3aU6hP,spotify:track:2VGz5oPOJdV2m0lR3aU6hP,https://api.spotify.com/v1/tracks/2VGz5oPOJdV2m0lR3aU6hP,https://api.spotify.com/v1/audio-analysis/2VGz5oPOJdV2m0lR3aU6hP,313147.0,4.0,,0.501,0.243,5.0,-16.606,1.0,0.0328,0.614,0.00177,0.0969,0.373,137.673,audio_features,2VGz5oPOJdV2m0lR3aU6hP,spotify:track:2VGz5oPOJdV2m0lR3aU6hP,https://api.spotify.com/v1/tracks/2VGz5oPOJdV2m0lR3aU6hP,https://api.spotify.com/v1/audio-analysis/2VGz5oPOJdV2m0lR3aU6hP,313147.0,4.0,
24,24,24,Wyoming,Wyoming,Migos,Cross The Country,spotify:track:2Oah03oharaPTFWTIVPuCC,42,2014-11-05,0.895,0.611,0.0,-10.822000000000001,1.0,0.28,0.20800000000000002,0.0,0.0818,0.552,120.00200000000001,audio_features,2Oah03oharaPTFWTIVPuCC,spotify:track:2Oah03oharaPTFWTIVPuCC,https://api.spotify.com/v1/tracks/2Oah03oharaPTFWTIVPuCC,https://api.spotify.com/v1/audio-analysis/2Oah03oharaPTFWTIVPuCC,387526.0,4.0,,0.895,0.611,0.0,-10.822,1.0,0.28,0.208,0.0,0.0818,0.552,120.002,audio_features,2Oah03oharaPTFWTIVPuCC,spotify:track:2Oah03oharaPTFWTIVPuCC,https://api.spotify.com/v1/tracks/2Oah03oharaPTFWTIVPuCC,https://api.spotify.com/v1/audio-analysis/2Oah03oharaPTFWTIVPuCC,387526.0,4.0,
