,Unnamed: 0,city,state,artist,song,uris,popularity,date,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
267,267,Davenport,Iowa,The Band,Big River [Take 1; Take],spotify:track:0CS4pwHml8LCSdVJ1gIKU3,33,2019-11-01,,0.745,0.681,4.0,-12.97,1.0,0.0623,0.488,0.00222,0.173,0.859,108.827,audio_features,0CS4pwHml8LCSdVJ1gIKU3,spotify:track:0CS4pwHml8LCSdVJ1gIKU3,https://api.spotify.com/v1/tracks/0CS4pwHml8LCSdVJ1gIKU3,https://api.spotify.com/v1/audio-analysis/0CS4pwHml8LCSdVJ1gIKU3,123613.0,4.0
268,268,Davenport,Iowa,Johnny Cash,Big River [Count de Money Remix],error,error,error,,,,,,,,,,,,,,,,,,,
269,269,Davenport,Iowa,Johnny Cash,Big River,spotify:track:6tSlcd8gcp3XGstYNhL3It,54,2014-01-15,,0.632,0.559,5.0,-10.49,1.0,0.0674,0.854,0.000103,0.127,0.884,182.942,audio_features,6tSlcd8gcp3XGstYNhL3It,spotify:track:6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/tracks/6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/audio-analysis/6tSlcd8gcp3XGstYNhL3It,151427.0,4.0
270,270,Davenport,Iowa,Bill Monroe,Big River,spotify:track:2brjqyVhm1MsenpS3rSj4i,22,1993,,0.562,0.668,9.0,-13.485,1.0,0.036,0.531,0.487,0.136,0.923,135.505,audio_features,2brjqyVhm1MsenpS3rSj4i,spotify:track:2brjqyVhm1MsenpS3rSj4i,https://api.spotify.com/v1/tracks/2brjqyVhm1MsenpS3rSj4i,https://api.spotify.com/v1/audio-analysis/2brjqyVhm1MsenpS3rSj4i,149227.0,4.0
271,271,Davenport,Iowa,Johnny Cash,Big River,spotify:track:6tSlcd8gcp3XGstYNhL3It,54,2014-01-15,,0.632,0.559,5.0,-10.49,1.0,0.0674,0.854,0.000103,0.127,0.884,182.942,audio_features,6tSlcd8gcp3XGstYNhL3It,spotify:track:6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/tracks/6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/audio-analysis/6tSlcd8gcp3XGstYNhL3It,151427.0,4.0
272,272,Davenport,Iowa,Grateful Dead,Big River,spotify:track:6QZugq7fh8GiaLZhW0UAC5,24,2004,,0.697,0.473,9.0,-16.352,1.0,0.0361,0.942,0.823,0.914,0.926,113.847,audio_features,6QZugq7fh8GiaLZhW0UAC5,spotify:track:6QZugq7fh8GiaLZhW0UAC5,https://api.spotify.com/v1/tracks/6QZugq7fh8GiaLZhW0UAC5,https://api.spotify.com/v1/audio-analysis/6QZugq7fh8GiaLZhW0UAC5,322533.0,4.0
273,273,Davenport,Iowa,Johnny Cash,Big River [Live],spotify:track:4BDHIpKyhoccMFODzB3mZC,26,1969-06-05,,0.59,0.777,0.0,-8.758,1.0,0.148,0.632,0.0,0.974,0.946,121.115,audio_features,4BDHIpKyhoccMFODzB3mZC,spotify:track:4BDHIpKyhoccMFODzB3mZC,https://api.spotify.com/v1/tracks/4BDHIpKyhoccMFODzB3mZC,https://api.spotify.com/v1/audio-analysis/4BDHIpKyhoccMFODzB3mZC,103307.0,4.0
274,274,Davenport,Iowa,The Carter Family,Big River,spotify:track:5Znl7ZVHYgnUkkTeLw4SmM,2,1965-01-01,,0.68,0.471,7.0,-10.463,1.0,0.0269,0.396,0.0,0.332,0.79,95.185,audio_features,5Znl7ZVHYgnUkkTeLw4SmM,spotify:track:5Znl7ZVHYgnUkkTeLw4SmM,https://api.spotify.com/v1/tracks/5Znl7ZVHYgnUkkTeLw4SmM,https://api.spotify.com/v1/audio-analysis/5Znl7ZVHYgnUkkTeLw4SmM,134120.0,4.0
275,275,Davenport,Iowa,Grateful Dead,Big River [Live],spotify:track:6QZugq7fh8GiaLZhW0UAC5,24,2004,,0.697,0.473,9.0,-16.352,1.0,0.0361,0.942,0.823,0.914,0.926,113.847,audio_features,6QZugq7fh8GiaLZhW0UAC5,spotify:track:6QZugq7fh8GiaLZhW0UAC5,https://api.spotify.com/v1/tracks/6QZugq7fh8GiaLZhW0UAC5,https://api.spotify.com/v1/audio-analysis/6QZugq7fh8GiaLZhW0UAC5,322533.0,4.0
276,276,Davenport,Iowa,Rosanne Cash,Big River,spotify:track:48YS5LEyJm9geRGAsZDjHR,6,1979-04-22,,0.749,0.538,4.0,-9.587,1.0,0.081,0.407,0.000255,0.0663,0.689,96.531,audio_features,48YS5LEyJm9geRGAsZDjHR,spotify:track:48YS5LEyJm9geRGAsZDjHR,https://api.spotify.com/v1/tracks/48YS5LEyJm9geRGAsZDjHR,https://api.spotify.com/v1/audio-analysis/48YS5LEyJm9geRGAsZDjHR,167360.0,4.0
