,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
59,59,Idaho,Idaho,Marty Robbins,Old Red,spotify:track:3fVodiStHwumFONYrDfo6H,37,1963-12-17,0.745,0.26,3.0,-12.021,1.0,0.039,0.873,0.0,0.0935,0.661,94.797,audio_features,3fVodiStHwumFONYrDfo6H,spotify:track:3fVodiStHwumFONYrDfo6H,https://api.spotify.com/v1/tracks/3fVodiStHwumFONYrDfo6H,https://api.spotify.com/v1/audio-analysis/3fVodiStHwumFONYrDfo6H,180067.0,3.0,
60,60,Idaho,Idaho,Johnny Cash,Austin Prison,spotify:track:0P9BwYhGzvs7B75b54JYun,27,2007-01-09,0.584,0.812,4.0,-8.973,1.0,0.0522,0.4,0.00336,0.984,0.817,113.396,audio_features,0P9BwYhGzvs7B75b54JYun,spotify:track:0P9BwYhGzvs7B75b54JYun,https://api.spotify.com/v1/tracks/0P9BwYhGzvs7B75b54JYun,https://api.spotify.com/v1/audio-analysis/0P9BwYhGzvs7B75b54JYun,165040.0,4.0,
61,61,Idaho,Idaho,Judy Collins,Secret Gardens,spotify:track:1MmqbXWKCvozOPbmyPn40z,4,1973,0.341,0.0383,3.0,-22.473,1.0,0.0445,0.969,0.0,0.11,0.232,113.177,audio_features,1MmqbXWKCvozOPbmyPn40z,spotify:track:1MmqbXWKCvozOPbmyPn40z,https://api.spotify.com/v1/tracks/1MmqbXWKCvozOPbmyPn40z,https://api.spotify.com/v1/audio-analysis/1MmqbXWKCvozOPbmyPn40z,333227.0,5.0,
62,62,Idaho,Idaho,Bob Dylan,Let Me Die in My Footsteps [outtake],spotify:track:5fcbd0Z5V7t2871wKTM4qJ,33,1991-03-26,0.626,0.226,8.0,-13.843,1.0,0.0331,0.932,0.00149,0.12,0.354,92.299,audio_features,5fcbd0Z5V7t2871wKTM4qJ,spotify:track:5fcbd0Z5V7t2871wKTM4qJ,https://api.spotify.com/v1/tracks/5fcbd0Z5V7t2871wKTM4qJ,https://api.spotify.com/v1/audio-analysis/5fcbd0Z5V7t2871wKTM4qJ,212067.0,3.0,
63,63,Idaho,Idaho,Dinah Shore,Dear Hearts and Gentle People,spotify:track:2BkVM63iVGP6wFNbUvvL6r,18,1989-06-13,0.842,0.0986,0.0,-16.111,1.0,0.0441,0.917,0.0,0.101,0.717,99.365,audio_features,2BkVM63iVGP6wFNbUvvL6r,spotify:track:2BkVM63iVGP6wFNbUvvL6r,https://api.spotify.com/v1/tracks/2BkVM63iVGP6wFNbUvvL6r,https://api.spotify.com/v1/audio-analysis/2BkVM63iVGP6wFNbUvvL6r,160640.0,5.0,
64,64,Idaho,Idaho,Lynyrd Skynyrd,What's Your Name [Live; Previously Unreleased Track],error,error,error,,,,,,,,,,,,,,,,,,,
65,65,Idaho,Idaho,Lynyrd Skynyrd,What's Your Name [Live at the Selland Arena],spotify:track:7vwytrUQmhldHvCFSKwRCx,10,1977-10-17,0.442,0.805,4.0,-10.724,0.0,0.0364,0.0587,0.000347,0.173,0.787,136.778,audio_features,7vwytrUQmhldHvCFSKwRCx,spotify:track:7vwytrUQmhldHvCFSKwRCx,https://api.spotify.com/v1/tracks/7vwytrUQmhldHvCFSKwRCx,https://api.spotify.com/v1/audio-analysis/7vwytrUQmhldHvCFSKwRCx,208560.0,4.0,
66,66,Idaho,Idaho,Lynyrd Skynyrd,"What's Your Name [Live (1987/Reunion Arena, Dallas)]",spotify:track:0j0H7BEm3fJb5UMhxQ8IWX,7,1988-01-01,0.533,0.732,2.0,-11.476,1.0,0.0442,0.0317,0.00142,0.987,0.827,133.656,audio_features,0j0H7BEm3fJb5UMhxQ8IWX,spotify:track:0j0H7BEm3fJb5UMhxQ8IWX,https://api.spotify.com/v1/tracks/0j0H7BEm3fJb5UMhxQ8IWX,https://api.spotify.com/v1/audio-analysis/0j0H7BEm3fJb5UMhxQ8IWX,239333.0,4.0,
67,67,Idaho,Idaho,Marty Robbins,Saddle Tramp,spotify:track:68FTJoO8edSpzuYb6lGW6P,51,1959,0.666,0.493,5.0,-9.593,1.0,0.0297,0.842,0.0,0.225,0.611,90.842,audio_features,68FTJoO8edSpzuYb6lGW6P,spotify:track:68FTJoO8edSpzuYb6lGW6P,https://api.spotify.com/v1/tracks/68FTJoO8edSpzuYb6lGW6P,https://api.spotify.com/v1/audio-analysis/68FTJoO8edSpzuYb6lGW6P,123373.0,3.0,
68,68,Idaho,Idaho,Lynyrd Skynyrd,What's Your Name,spotify:track:0uZs7p6cbEUNwGMdfNj9Kk,55,1977-10-17,0.646,0.574,7.0,-9.352,1.0,0.0285,0.602,4.19e-05,0.135,0.933,135.175,audio_features,0uZs7p6cbEUNwGMdfNj9Kk,spotify:track:0uZs7p6cbEUNwGMdfNj9Kk,https://api.spotify.com/v1/tracks/0uZs7p6cbEUNwGMdfNj9Kk,https://api.spotify.com/v1/audio-analysis/0uZs7p6cbEUNwGMdfNj9Kk,213267.0,4.0,
69,69,Idaho,Idaho,Lynyrd Skynyrd,T for Texas,spotify:track:1cOdzF3cSE9VFWVI9BCY6X,40,1976,0.404,0.933,2.0,-8.994,1.0,0.0825,0.125,0.00937,0.973,0.438,112.6,audio_features,1cOdzF3cSE9VFWVI9BCY6X,spotify:track:1cOdzF3cSE9VFWVI9BCY6X,https://api.spotify.com/v1/tracks/1cOdzF3cSE9VFWVI9BCY6X,https://api.spotify.com/v1/audio-analysis/1cOdzF3cSE9VFWVI9BCY6X,554960.0,4.0,
70,70,Idaho,Idaho,George Jones,Ain't Love a Lot Like That,spotify:track:19YkfjAyfkYNKnIXuIdmng,21,1999-01-01,0.527,0.834,4.0,-5.726,1.0,0.0313,0.0497,4.42e-06,0.158,0.96,169.39,audio_features,19YkfjAyfkYNKnIXuIdmng,spotify:track:19YkfjAyfkYNKnIXuIdmng,https://api.spotify.com/v1/tracks/19YkfjAyfkYNKnIXuIdmng,https://api.spotify.com/v1/audio-analysis/19YkfjAyfkYNKnIXuIdmng,142493.0,4.0,
71,71,Idaho,Idaho,The Kingston Trio,Dogie's Lament,spotify:track:7GHgNKlLIe8cmmwbMonfSN,14,1962-11-07,0.643,0.352,0.0,-14.018,1.0,0.0267,0.944,2.69e-06,0.147,0.594,95.234,audio_features,7GHgNKlLIe8cmmwbMonfSN,spotify:track:7GHgNKlLIe8cmmwbMonfSN,https://api.spotify.com/v1/tracks/7GHgNKlLIe8cmmwbMonfSN,https://api.spotify.com/v1/audio-analysis/7GHgNKlLIe8cmmwbMonfSN,138893.0,4.0,
72,72,Idaho,Idaho,The Nitty Gritty Dirt Band,Santa Rosa,spotify:track:2y6qryg1chppjGIJLuDR51,10,2002-12-26,0.506,0.835,11.0,-8.591,1.0,0.0789,0.622,8.89e-06,0.252,0.69,101.307,audio_features,2y6qryg1chppjGIJLuDR51,spotify:track:2y6qryg1chppjGIJLuDR51,https://api.spotify.com/v1/tracks/2y6qryg1chppjGIJLuDR51,https://api.spotify.com/v1/audio-analysis/2y6qryg1chppjGIJLuDR51,143467.0,4.0,
73,73,Idaho,Idaho,The Supremes,He's My Sunny Boy,spotify:track:2zFYbadLGiKWnSJ08au3w9,29,2011-10-24,0.744,0.608,11.0,-5.729,0.0,0.0639,0.442,7.35e-06,0.0444,0.636,104.555,audio_features,2zFYbadLGiKWnSJ08au3w9,spotify:track:2zFYbadLGiKWnSJ08au3w9,https://api.spotify.com/v1/tracks/2zFYbadLGiKWnSJ08au3w9,https://api.spotify.com/v1/audio-analysis/2zFYbadLGiKWnSJ08au3w9,141120.0,4.0,
