,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error,error.status,error.message
10,10,Puerto Rico,Puerto Rico,Tego Calderón,Conexion Puerto Rico,spotify:track:6HmbxFHqanr8i6CsZfbokq,47,2004-07-28,0.793,0.674,1.0,-4.331,0.0,0.0695,0.0202,0.000257,0.0859,0.744,93.022,audio_features,6HmbxFHqanr8i6CsZfbokq,spotify:track:6HmbxFHqanr8i6CsZfbokq,https://api.spotify.com/v1/tracks/6HmbxFHqanr8i6CsZfbokq,https://api.spotify.com/v1/audio-analysis/6HmbxFHqanr8i6CsZfbokq,220387.0,4.0,,,
11,11,Puerto Rico,Puerto Rico,La Sonora Matancera,La Isla del Encanto,spotify:track:6BauCT7BSMinCs677hGomN,16,1959-01-01,0.644,0.501,7.0,-11.84,1.0,0.0581,0.437,8.34e-05,0.0579,0.965,135.03,audio_features,6BauCT7BSMinCs677hGomN,spotify:track:6BauCT7BSMinCs677hGomN,https://api.spotify.com/v1/tracks/6BauCT7BSMinCs677hGomN,https://api.spotify.com/v1/audio-analysis/6BauCT7BSMinCs677hGomN,157467.0,4.0,,,
12,12,Puerto Rico,Puerto Rico,Wyclef Jean,Coqui,spotify:track:3B1RukpznzdoQbN81BH0oc,13,2005,0.771,0.671,0.0,-10.512,1.0,0.258,0.408,0.0,0.323,0.816,99.984,audio_features,3B1RukpznzdoQbN81BH0oc,spotify:track:3B1RukpznzdoQbN81BH0oc,https://api.spotify.com/v1/tracks/3B1RukpznzdoQbN81BH0oc,https://api.spotify.com/v1/audio-analysis/3B1RukpznzdoQbN81BH0oc,276960.0,4.0,,,
13,13,Puerto Rico,Puerto Rico,Kevin Gates,83 Babies,error,error,error,,,,,,,,,,,,,,,,,,,,,
14,14,Puerto Rico,Puerto Rico,"BESFORD, Ruly Rodriguez",Rico Rico,spotify:track:6gDyueDTDqQDjMaJY0Yj1g,11,2019-06-21,0.789,0.89,6.0,-2.957,0.0,0.205,0.0378,4.68e-06,0.262,0.697,99.994,audio_features,6gDyueDTDqQDjMaJY0Yj1g,spotify:track:6gDyueDTDqQDjMaJY0Yj1g,https://api.spotify.com/v1/tracks/6gDyueDTDqQDjMaJY0Yj1g,https://api.spotify.com/v1/audio-analysis/6gDyueDTDqQDjMaJY0Yj1g,160881.0,4.0,,,
15,15,Puerto Rico,Puerto Rico,Jerry Rivera,Puerto Rico,spotify:track:37nWU8AjaMIKWP0MKpTfMn,21,2003-10-17,0.779,0.578,2.0,-5.897,0.0,0.037,0.749,1.18e-06,0.0516,0.897,102.522,audio_features,37nWU8AjaMIKWP0MKpTfMn,spotify:track:37nWU8AjaMIKWP0MKpTfMn,https://api.spotify.com/v1/tracks/37nWU8AjaMIKWP0MKpTfMn,https://api.spotify.com/v1/audio-analysis/37nWU8AjaMIKWP0MKpTfMn,266107.0,4.0,,,
16,16,Puerto Rico,Puerto Rico,Natalia Ramírez,Luna de Miel en Puerto Rico / Piel Canela,spotify:track:5UNlJtloKHqKJXkUZrK2ZU,1,2018-10-26,0.659,0.233,1.0,-13.993,1.0,0.0471,0.925,5.62e-06,0.0834,0.595,129.945,audio_features,5UNlJtloKHqKJXkUZrK2ZU,spotify:track:5UNlJtloKHqKJXkUZrK2ZU,https://api.spotify.com/v1/tracks/5UNlJtloKHqKJXkUZrK2ZU,https://api.spotify.com/v1/audio-analysis/5UNlJtloKHqKJXkUZrK2ZU,221686.0,4.0,,,
17,17,Puerto Rico,Puerto Rico,Marc Anthony,La Gozadera,spotify:track:0OMRAvrtLWE2TvcXorRiB9,73,2016-04-22,0.616,0.989,9.0,-1.698,0.0,0.0483,0.166,0.0,0.172,0.902,95.036,audio_features,0OMRAvrtLWE2TvcXorRiB9,spotify:track:0OMRAvrtLWE2TvcXorRiB9,https://api.spotify.com/v1/tracks/0OMRAvrtLWE2TvcXorRiB9,https://api.spotify.com/v1/audio-analysis/0OMRAvrtLWE2TvcXorRiB9,203160.0,4.0,,,
18,18,Puerto Rico,Puerto Rico,Marc Anthony,La Gozadera [Salsa],spotify:track:22Z7mEnP1e4IyUDBIkj7Yf,51,2016-04-22,0.625,0.954,0.0,-3.1,1.0,0.0407,0.298,0.0,0.22,0.923,95.018,audio_features,22Z7mEnP1e4IyUDBIkj7Yf,spotify:track:22Z7mEnP1e4IyUDBIkj7Yf,https://api.spotify.com/v1/tracks/22Z7mEnP1e4IyUDBIkj7Yf,https://api.spotify.com/v1/audio-analysis/22Z7mEnP1e4IyUDBIkj7Yf,203947.0,4.0,,,
19,19,Puerto Rico,Puerto Rico,Calle 13,La Crema,spotify:track:7EAIgk0EOZMFg8jr4uKaR8,23,2007-04-23,0.579,0.748,11.0,-5.933,0.0,0.192,0.273,0.0,0.15,0.722,91.944,audio_features,7EAIgk0EOZMFg8jr4uKaR8,spotify:track:7EAIgk0EOZMFg8jr4uKaR8,https://api.spotify.com/v1/tracks/7EAIgk0EOZMFg8jr4uKaR8,https://api.spotify.com/v1/audio-analysis/7EAIgk0EOZMFg8jr4uKaR8,241240.0,4.0,,,
20,20,Puerto Rico,Puerto Rico,N'Klabe,La Salsa de Puerto Rico,spotify:track:2Jy3YTBjcckvXVTgWovBZ8,17,2005,0.681,0.781,0.0,-5.699,1.0,0.0376,0.277,0.0,0.102,0.969,104.302,audio_features,2Jy3YTBjcckvXVTgWovBZ8,spotify:track:2Jy3YTBjcckvXVTgWovBZ8,https://api.spotify.com/v1/tracks/2Jy3YTBjcckvXVTgWovBZ8,https://api.spotify.com/v1/audio-analysis/2Jy3YTBjcckvXVTgWovBZ8,290360.0,4.0,,,
21,21,Puerto Rico,Puerto Rico,"Ivy Queen, De la Ghetto, Zion, Lennox, Pj Sin Suela, Lucecita Benitez",A Forgotten Spot (Olvidado),spotify:track:2iwUkZ9X1CRGpI9ZZWDOOt,36,2018-09-20,0.63,0.782,10.0,-5.517,1.0,0.174,0.13,0.0,0.109,0.29,98.152,audio_features,2iwUkZ9X1CRGpI9ZZWDOOt,spotify:track:2iwUkZ9X1CRGpI9ZZWDOOt,https://api.spotify.com/v1/tracks/2iwUkZ9X1CRGpI9ZZWDOOt,https://api.spotify.com/v1/audio-analysis/2iwUkZ9X1CRGpI9ZZWDOOt,346023.0,4.0,,,
22,22,Puerto Rico,Puerto Rico,"Kaïzer Panda, Kelyan Muller",Hum,spotify:track:73QlTXk6uQrKf02M5zrhUL,18,2018-07-06,0.75,0.828,7.0,-4.468,0.0,0.0418,0.289,0.0,0.238,0.787,112.005,audio_features,73QlTXk6uQrKf02M5zrhUL,spotify:track:73QlTXk6uQrKf02M5zrhUL,https://api.spotify.com/v1/tracks/73QlTXk6uQrKf02M5zrhUL,https://api.spotify.com/v1/audio-analysis/73QlTXk6uQrKf02M5zrhUL,193330.0,4.0,,,
23,23,Puerto Rico,Puerto Rico,"Kaïzer Panda, Kelyan Muller",Hum,spotify:track:73QlTXk6uQrKf02M5zrhUL,18,2018-07-06,0.75,0.828,7.0,-4.468,0.0,0.0418,0.289,0.0,0.238,0.787,112.005,audio_features,73QlTXk6uQrKf02M5zrhUL,spotify:track:73QlTXk6uQrKf02M5zrhUL,https://api.spotify.com/v1/tracks/73QlTXk6uQrKf02M5zrhUL,https://api.spotify.com/v1/audio-analysis/73QlTXk6uQrKf02M5zrhUL,193330.0,4.0,,,
24,24,Puerto Rico,Puerto Rico,Marc Anthony,Preciosa,spotify:track:2zSKn5OvDtSL5LWO7k0PKI,41,2006-01-01,0.662,0.466,4.0,-8.144,0.0,0.0293,0.529,0.0,0.0635,0.448,113.936,audio_features,2zSKn5OvDtSL5LWO7k0PKI,spotify:track:2zSKn5OvDtSL5LWO7k0PKI,https://api.spotify.com/v1/tracks/2zSKn5OvDtSL5LWO7k0PKI,https://api.spotify.com/v1/audio-analysis/2zSKn5OvDtSL5LWO7k0PKI,312160.0,4.0,,,
25,25,Puerto Rico,Puerto Rico,Victor Manuelle,Mi Salsa Le Gustó,spotify:track:1WnAbmi3ot0hXpafsyAidp,18,2012,0.762,0.827,11.0,-3.587,0.0,0.0716,0.511,0.0,0.0451,0.66,98.856,audio_features,1WnAbmi3ot0hXpafsyAidp,spotify:track:1WnAbmi3ot0hXpafsyAidp,https://api.spotify.com/v1/tracks/1WnAbmi3ot0hXpafsyAidp,https://api.spotify.com/v1/audio-analysis/1WnAbmi3ot0hXpafsyAidp,228720.0,4.0,,,
26,26,Puerto Rico,Puerto Rico,Big Punisher,100%,spotify:track:6xeB09UZ7cnexyMkYdGlMS,42,2000-03-01,0.807,0.769,7.0,-3.644,0.0,0.269,0.0664,0.0,0.0618,0.705,99.664,audio_features,6xeB09UZ7cnexyMkYdGlMS,spotify:track:6xeB09UZ7cnexyMkYdGlMS,https://api.spotify.com/v1/tracks/6xeB09UZ7cnexyMkYdGlMS,https://api.spotify.com/v1/audio-analysis/6xeB09UZ7cnexyMkYdGlMS,231800.0,4.0,,,
27,27,Puerto Rico,Puerto Rico,Frankie Ruiz,Puerto Rico,spotify:track:4doloJKKvqdQTlId3BWMWk,38,2008-09-09,0.758,0.749,2.0,-8.075,0.0,0.0332,0.221,0.0,0.15,0.765,100.747,audio_features,4doloJKKvqdQTlId3BWMWk,spotify:track:4doloJKKvqdQTlId3BWMWk,https://api.spotify.com/v1/tracks/4doloJKKvqdQTlId3BWMWk,https://api.spotify.com/v1/audio-analysis/4doloJKKvqdQTlId3BWMWk,274587.0,4.0,,,
28,28,Puerto Rico,Puerto Rico,Vaya Con Dios,Puerto Rico,spotify:track:3hgcfNQI4jOIqjhI13im4E,48,1988-09-30,0.727,0.271,9.0,-15.437,0.0,0.0398,0.691,0.0,0.239,0.72,123.816,audio_features,3hgcfNQI4jOIqjhI13im4E,spotify:track:3hgcfNQI4jOIqjhI13im4E,https://api.spotify.com/v1/tracks/3hgcfNQI4jOIqjhI13im4E,https://api.spotify.com/v1/audio-analysis/3hgcfNQI4jOIqjhI13im4E,261653.0,4.0,,,
29,29,Puerto Rico,Puerto Rico,Vaya Con Dios,Puerto Rico [DVD; Live; Version],error,error,error,,,,,,,,,,,,,,,,,,,,,
30,30,Puerto Rico,Puerto Rico,Jennifer Lopez,Gotta Be There,spotify:track:5JN25NBxNORogVQodv3DD4,11,2007-10-09,0.616,0.706,4.0,-5.213,0.0,0.0355,0.0107,0.0,0.567,0.215,103.045,audio_features,5JN25NBxNORogVQodv3DD4,spotify:track:5JN25NBxNORogVQodv3DD4,https://api.spotify.com/v1/tracks/5JN25NBxNORogVQodv3DD4,https://api.spotify.com/v1/audio-analysis/5JN25NBxNORogVQodv3DD4,237680.0,4.0,,,
31,31,Puerto Rico,Puerto Rico,Cosculluela,Sigo Rico,spotify:track:3iq3AG31l8l2L1x1valVVI,49,2018-08-31,0.696,0.607,9.0,-5.621,0.0,0.166,0.768,0.0,0.127,0.286,96.068,audio_features,3iq3AG31l8l2L1x1valVVI,spotify:track:3iq3AG31l8l2L1x1valVVI,https://api.spotify.com/v1/tracks/3iq3AG31l8l2L1x1valVVI,https://api.spotify.com/v1/audio-analysis/3iq3AG31l8l2L1x1valVVI,245120.0,4.0,,,
32,32,Puerto Rico,Puerto Rico,Akon,Bring It On,spotify:track:4bmYilmgAivxOg8C8TCyy1,35,2007-06-05,0.624,0.78,1.0,-4.05,0.0,0.114,0.0727,0.0,0.0692,0.472,174.064,audio_features,4bmYilmgAivxOg8C8TCyy1,spotify:track:4bmYilmgAivxOg8C8TCyy1,https://api.spotify.com/v1/tracks/4bmYilmgAivxOg8C8TCyy1,https://api.spotify.com/v1/audio-analysis/4bmYilmgAivxOg8C8TCyy1,223773.0,4.0,,,
