state,city,song,artist,uris,duration_ms,popularity,date
Maryland,Baltimore,Baltimore,Sonny James,spotify:track:2LJXjPIez0NA2nzMXsx55M,149266,12,2006-01-01
Maryland,Baltimore,Baltimore's Fireflies,Woodkid,spotify:track:3QBdVIlkKnc6SGPpwyg3zm,247400,41,2013-01-01
Maryland,Baltimore,Barefoot in Baltimore,Strawberry Alarm Clock,spotify:track:7gxeDaqGLT33dkWSTAEOue,142293,17,1968-01-01
Maryland,Baltimore,Blue Skies Over Dundalk,Mary Prankster,spotify:track:1CbjJGSK1rL5OdW2gupOuB,89253,7,2002-01-01
Maryland,Baltimore,Engine Engine Number 9,Roger Miller,spotify:track:6lK456BDT6RBGIwniUR7vY,137800,14,1996-01-01
Maryland,Baltimore,The Girl From Baltimore,The Fleshtones,spotify:track:5G7UH4wKhl3qIXovTMp4zY,159866,0,2017-02-10
Maryland,Baltimore,Good Morning Baltimore,from Hairspray!,spotify:track:5HDLfQNN2AwAZWqzjDLxb5,220426,40,2002-08-13
Maryland,Baltimore,Heaven in Baltimore,Dale Watson,spotify:track:28Ahr7EFd2Pu8xM7e8DpD3,93653,4,2014-07-08
Maryland,Baltimore,Hungry Heart,Bruce Springsteen,spotify:track:1KsI8NEeAna8ZIdojI3FiT,199453,69,1980-10-17
Maryland,Baltimore,Moonlight Feels Right,Starbuck,spotify:track:7sfMjwBcAatrNH46rn1YsK,221066,49,1976-07-13
Maryland,Baltimore,Raining in Baltimore,Counting Crows,spotify:track:3RPvaTtA38cNsCNL7lXt4v,280626,42,1993-01-01
Maryland,Baltimore,Streets of Baltimore,Bob Bare,spotify:track:3kDSSR6noFrYJBxijqEVm3,157640,43,1966-08-22
Maryland,Baltimore,Willie Jones,the Charlie Daniels Band,spotify:track:3bC10NHwY64PV7lSBmjZ13,192733,19,1975
Maryland,Baltimore,Baltimore To Washington,Woody Guthrie & Cisco Houston,spotify:track:5disQl1XhN20HHeRjdoFY6,178373,17,1968-01-01
Maryland,Baltimore,The Lady Came from Baltimore,Tim Hardin,spotify:track:1iFaDWLmxvN5BA24zHmIon,112173,21,1994-01-01
Maryland,Baltimore,For Baltimore,All Time Low,spotify:track:6kYGBXtrbXtl1vcbmD1bWG,188992,46,2012-10-09
Maryland,Baltimore,The Star-Spangled Banner,Francis Scott Key,spotify:track:7FTRr86EMdtScGKOMaAj65,72226,15,2012-01-01
Maine,Bangor,King Of The Road,Roger Miller,spotify:track:3XG7bMVcMWLIn2k9jLAaAt,147306,60,1965-01-01
Louisiana,Baton Rouge,Calling Baton Rouge,Garth Brooks,spotify:track:0cC6tjzidyUPRnPBrQK39L,162000,0,2020-04-16
Texas,Beaumont,Beaumont,Hayes Carll,spotify:track:64c0o7We5e7rete26iTZS1,207133,45,2008
Texas,Beaumont,"Pretty Little Lady From Beaumont, Texas",George Jones,spotify:track:4cxLCVoNCjrMoaWhI1Ca4R,154960,9,1989-02-28
Texas,Beaumont,The Night's Too Long,Patty Loveless,spotify:track:274bEaJJYO3QSRQoFXY4OC,238426,11,1990-01-01
Louisiana,Bossier City,Bossier City,the Turnpike Troubadours,spotify:track:2qRGnY4zSNBu4tTql3pEnX,198426,45,2015-09-18
Texas,Brownsville,It's All Here in Brownsville,The Mountain Goats,spotify:track:3KxgLIxBqDwGgNN1knH4Xp,113093,16,1997-06-05
New York,Buffalo,Broadway,The Goo Goo Dolls,spotify:track:0RZuCBV900eNA2FXCQ3uUM,238533,50,1998-09-11
New York,Buffalo,Shuffle Off to Buffalo,The Stolen Sweets,spotify:track:3ol2v58i0bAfaNWejGXsYL,186586,8,2006-06-01
New York,Buffalo,Ladies Night in Buffalo,David Lee Roth,error,186586,8,2006-06-01
New York,Buffalo,Rock and Roll Girls  John Fogarty,,spotify:track:5DeuAlTIDflXOomztXYM5D,206640,54,2010-06-29
South Carolina,Charleston,Carolina,Corey Smith,spotify:track:5ZSS2XXNiVJcIApl6N2UTl,189204,32,2011-06-21
South Carolina,Charleston,Holy City,Edwin McCain,spotify:track:0ZqQrGR2HDyoHWRxoucsDp,305540,18,1997
South Carolina,Charleston,You Can Have Charleston,Darius Rucker,spotify:track:1GETqk7etM1hnULgu1mNWZ,269773,34,2015-03-31
North Carolina,Charlotte,Gridiron Fight,(about the Panthers)  Paper Tongues,spotify:track:7fVmvYWkC58ZHP8kEtCffP,238734,4,2011-08-01
North Carolina,Charlotte,In Charlotte,Young Dolph,spotify:track:7Kuwf6FXqzrIa8Uhu80kL4,227334,48,2017-04-01
North Carolina,Charlotte,Brick,Ben Folds Five,spotify:track:4jKq1e80xAYixkIwt6YyV1,271720,56,1997-03-18
Tennessee,Chattanooga,The Chattanooga Shoot Shoot,Darren Hanlon,spotify:track:4JkfKSqbMtUsO4iWEiPCzz,390680,1,2015-03-24
Tennessee,Chattanooga,Chattanooga Sugar Babe,Johnny Cash,spotify:track:5UZX9KB0fMzaQ50tbk0oJb,196960,25,2003-01-01
Tennessee,Chattanooga,Chattanooga Choo Choo,"The Andrews Sisters, Glenn Miller",spotify:track:7a5VuzvBrtbqYT7kNlQlFd,206800,42,1939
Wyoming,Cheyenne,I Can Still Make Cheyenne,George Strait,spotify:track:7yQMZQeiSKnvEgimeGPVhi,256066,59,1996-01-01
Ohio,Cincinnati,Comin' to Your City,Big & Rich,spotify:track:56EYmR9IrFKKYdygcKXrvH,207133,48,2005-11-15
Ohio,Cincinnati,Fins,Jimmy Buffett,spotify:track:4h0gZ422QxBRdTV14u0P8y,204640,54,1985-01-01
Ohio,Cincinnati,"Jesus, Take the Wheel",Carrie Underwood,spotify:track:3lec3CzDPAxsZokPph5w87,226493,61,2005-11-14
Ohio,Cincinnati,Lights of Cincinnati,Scott Walker,spotify:track:67RZCbmnEnwsRkO7f6CVcu,187535,0,2018-08-31
Ohio,Cleveland,Anything But Mine,Kenny Chesney,spotify:track:36mCPzCbnDVSfvh5KHGutc,324920,49,2009-05-19
Ohio,Cleveland,Burn On,Randy Newman,spotify:track:4eVrvgT94P8WukADoh6E2P,153400,29,1972-05-01
Ohio,Cleveland,Christmas in Cleveland,The Raveonettes,spotify:track:34rgy1acmu97CNh5hi2ShG,304117,1,2008-11-25
Ohio,Cleveland,Cleveland,Jewel,spotify:track:1RiEHOeP2cdapypg39IMBr,250226,19,2001-10-30
Ohio,Cleveland,Cleveland is the City,Bone Thugs-N-Harmony,spotify:track:7hKrrDmrFyjPFg8A9GHNyT,300693,27,2002-10-29
