song_state,song_artist,song_name
New York,Westside Connection,All the Critics in New York
New York,Westside Connection,All the Critics in New York [Edited]
New York,Slapshot,Fuck New York
New York,Armand Van Helden,NYC Beat
New York,Frank Sinatra,Autumn in New York
New York,The Beach Boys,The Girl from New York City
New York,Bob Marley,Cocaine in My Brain
New York,James Richie,Cocaine in My Brain
New York,Black 47,"New York, NY 10009"
New York,Tim Flavin,Opening/New York! New York!
New York,Tyler Hilton,New York Can Wait
New York,Clark Terry,Autumn in New York
New York,Mel Tormé,Autumn in New York
New York,Kylie Minogue,New York City
New York,Simon & Garfunkel,A Heart in New York
New York,Ryan Adams,Welcome To New York
New York,The Queers,Nuni in New York
New York,Jay-Z,Welcome to New York City
New York,Beastie Boys,An Open Letter to NYC
New York,Back Street Crawler,"New York, New York"
New York,Shirley Bassey,New York State of Mind
New York,Matt Monro,New York New York
New York,Snoop Dogg,Slum Villain
New York,黄小琥,New York  New York
New York,Mary J. Blige,Christmas in the City
New York,Negramaro,New York E Nocciola
New York,"Homeboy Sandman, I Am Many",Real New York
New York,David Osborne,"New York, New York"
New York,Gil Ventura,"New York, New York"
New York,Thunder,"New York, New York [DVD]"
New York,King Sun,Suck No Dick
New York,"Frederick-The-Great ""Mister Entertainment""",Going Home to New York City
New York,LCD Soundsystem,"New York, I Love You But You're Bringing Me Down"
New York,Jay-Z,Kingdom Come
New York,Peter Allen,Arthur's Theme (Best That You Can Do)
New York,The Clash,Lightning Strikes (Not Once But Twice)
New York,The Clash,Lightning Strikes (Not Once But Twice) [Live; Previously Unreleased Track]
New York,Disney,"Once Upon a Time in New York City, song [From Oliver and Company]"
New York,Gary Tesca,"Theme from New York, New York"
New York,Billy Joel,New York State Of Mind
New York,The Cult,New York City
New York,Caitlin Rose,New York
New York,Mel Tormé,Sunday in New York
New York,Wyclef Jean,Sang Fezi
New York,Tony Bennett,New York State Of Mind
New York,Bobby Short,I Happen to Like New York
New York,The Toasters,New York Fever
New York,Bobby Darin,Sunday in New York
New York,Bee Gees,Another Lonely Night in New York
New York,Prince Don,2 Your Streets
New York,Danny D,NYC Beat
New York,Cesare Cremonini,La Nuova Stella di Broadway
New York,Beastie Boys,Open Letter to NYC [Acappella]
New York,Jay-Z,A Star Is Born
New York,"Jay-Z, J. Cole",A Star Is Born
New York,George Shearing,New York State of Mind
New York,Owl City,New York City
New York,BOØWY,No. New York
New York,艾敬,纽约纽约
New York,Shinehead,Jamaican in New York
New York,Brian Evans,"New York, New York"
New York,Joseph Saulter,"New York, New York"
New York,Jeff the Drunk,New York New York
New York,Adrian Bal,"New York, New York"
New York,"El Futuro Fuera de Órbita, Tracy McGrady",El Que No Salta Es Paco
New York,마마무,뉴욕 New York
New York,Gov't Mule,Down and Out in New York City
New York,The New Pornographers,The New Face of Zero and One
New York,Martha Wainwright,"New York, New York, New York"
New York,"Willy William, Cris Cab, Tefa & Moox",Englishman In New-York
New York,Dillinger,Cocaine in My Brain
New York,Art Garfunkel,A Heart in New York
New York,Huey Lewis,Once Upon a Time in New York City
New York,Bobby Short,Autumn in New York
