,state,city,song,artist
89, Louisiana,New Orleans,Border of the Quarter,  Leon Redbone
90, Louisiana,New Orleans,Born in Louisiana,"  Clarence ""Gatemouth"" Brown"
91, Louisiana,New Orleans,Born in New Orleans,  Paul Soniat
92, Louisiana,New Orleans,Born on the Bayou,  Creedence Clearwater Revival
93, Louisiana,New Orleans,Bourbon Street,  Eddie Schwartz
94, Louisiana,New Orleans,Bourbon Street,  Hurriganes
95, Louisiana,New Orleans,Bourbon Street,  Little River Band
96, Louisiana,New Orleans,Bourbon Street Beat,  Don Ralke
97, Louisiana,New Orleans,Bourbon Street Blues, from Mardi Gras
98, Louisiana,New Orleans,Bourbon Street Cajun,  Jim Olivier
99, Louisiana,New Orleans,Bourbon Street Jump,  Raymond Hill
100, Louisiana,New Orleans,Bourbon Street Parade,  Al Terry
101, Louisiana,New Orleans,Bourbon Street Parade,  Paul Barbarin
102, Louisiana,New Orleans,Bourbon Street Shuffle,  Big Ben Banjo Band
103, Louisiana,New Orleans,Bourbon Street Skank,  Ernest Ranglin
104, Louisiana,New Orleans,Bourbon Street Stroll,  Einstein
105, Louisiana,New Orleans,Bowie Knife,  Frankie Laine
106, Louisiana,New Orleans,Boy from New Orleans,  Louis Armstrong
107, Louisiana,New Orleans,Breakdancer's Reunion,  Self
108, Louisiana,New Orleans,"Breathe In, Breathe Out, Move On",  Jimmy Buffett
109, Louisiana,New Orleans,Bring Back Storyville,  Guy Davis
110, Louisiana,New Orleans,Broadway At Basin Street,  Cannonball Adderley
111, Louisiana,New Orleans,Brown Sugar,  The Rolling Stones
112, Louisiana,New Orleans,Buddy Bolden's Blues,  Jelly Roll Morton
113, Louisiana,New Orleans,Burgundy Street,  Acker Bilk
114, Louisiana,New Orleans,Burgundy Street Blues,  George Lewis
115, Louisiana,New Orleans,By the River,  Dirty Deep
116, Louisiana,New Orleans,By Route Of New Orleans,  Ed Bruce
117, Louisiana,New Orleans,Callin Baton Rouge,  Garth Brooks
118, Louisiana,New Orleans,Cajun Man Gets the Blues,  Tab Benoit
119, Louisiana,New Orleans,Cajun Stripper,  Doug Kershaw
120, Louisiana,New Orleans,Canal Street Blues,  King Oliver
121, Louisiana,New Orleans,Canal Street Parade,  Drifting Cowboys
122, Louisiana,New Orleans,Canal Street Polka,  Rodgers Brothers Band
123, Louisiana,New Orleans,Cannibal Mardi Gras,  Lorrae Desmond
124, Louisiana,New Orleans,Carnival In New Orleans,  Professor Longhair
125, Louisiana,New Orleans,Carnival Time,"  Al ""Carnival Time"" Johnson"
126, Louisiana,New Orleans,Chickee Le Pas,  Dr. John
127, Louisiana,New Orleans,Chloe Dancer,  Mother Love Bone
128, Louisiana,New Orleans,Chop and Change,  The Black Keys
129, Louisiana,New Orleans,Christmas in New Orleans,"  Dick Sherman and Joe Van Winkle, popularised  Louis Armstrong"
130, Louisiana,New Orleans,Christmas Night 4 A.M. New Orleans,  Flat Duo Jets
131, Louisiana,New Orleans,Chromatic Lee Suite,  Lee Konitz
132, Louisiana,New Orleans,City Beneath the Sea,  Harry Connick Jr.
133, Louisiana,New Orleans,City of New Orleans,  Arlo Guthrie
134, Louisiana,New Orleans,City That Care Forgot,  Dr. John
135, Louisiana,New Orleans,Clean Up (After Mardi Gras),  Charmaine Neville
136, Louisiana,New Orleans,Clementine (From New Orleans),  Bix Beiderbecke
137, Louisiana,New Orleans,The Comancheros,  Lonnie Donegan
138, Louisiana,New Orleans,Come On Back To New Orleans,  Willie West
139, Louisiana,New Orleans,Come On Down To New Orleans,  Shamarr Allen
140, Louisiana,New Orleans,Come To Mardi Gras,  Ironing Board Sam
141, Louisiana,New Orleans,Come To The Mardi Gras,  Allen Toussaint
142, Louisiana,New Orleans,Come To The Mardi Gras,  Edmundo Ros
143, Louisiana,New Orleans,Congo,  Amel Larrieux
144, Louisiana,New Orleans,Congo Square,  Chuck Perkins
145, Louisiana,New Orleans,Congo Square,"  Wynton Marsalis, Johnny Wiggs, Great White"
146, Louisiana,New Orleans,Congo Square Rag,  Corey Harris
147, Louisiana,New Orleans,Conja (New Orleans 1786),  Beausoleil
148, Louisiana,New Orleans,Count Of Clerkenwell,  Arthur Kay's Originals
