,state,city,song,artist
0, New Jersey,Asbury Park,"Fourth of July, Asbury Park (Sandy)  Bruce Springsteen",
1, New Jersey,Asbury Park,My City of Ruins,  Bruce Springsteen
2, New Jersey,Atlantic City,Atlantic City,  Bruce Springsteen
3, New Jersey,Hackensack,Hackensack,  Fountains of Wayne
4, New Jersey,Wildwood,Wildwood Days,  Bob Rydell
