,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
50,Iowa,Iowa,Pato Banton,Go Pato,spotify:track:4f1EdNgsnvVz6K5Qbu5JS0,54,2008-01-01,0.7929999999999999,0.821,4.0,-7.5,0.0,0.0454,0.0176,4.59e-06,0.317,0.7979999999999999,92.836,audio_features,4f1EdNgsnvVz6K5Qbu5JS0,spotify:track:4f1EdNgsnvVz6K5Qbu5JS0,https://api.spotify.com/v1/tracks/4f1EdNgsnvVz6K5Qbu5JS0,https://api.spotify.com/v1/audio-analysis/4f1EdNgsnvVz6K5Qbu5JS0,275400.0,4.0
51,Iowa,Iowa,'Til Tuesday,Coming up Close,spotify:track:6ZCkhQPdBtUzZPkkO1o9cx,38,1986-11-04,0.368,0.473,8.0,-14.943,1.0,0.0316,0.18100000000000002,0.000251,0.0665,0.273,80.186,audio_features,6ZCkhQPdBtUzZPkkO1o9cx,spotify:track:6ZCkhQPdBtUzZPkkO1o9cx,https://api.spotify.com/v1/tracks/6ZCkhQPdBtUzZPkkO1o9cx,https://api.spotify.com/v1/audio-analysis/6ZCkhQPdBtUzZPkkO1o9cx,280000.0,4.0
52,Iowa,Iowa,The Dead Milkmen,Stuart,spotify:track:7fuTpm88DJR2Mh9RsuCGdX,32,1988-05-01,0.541,0.648,0.0,-11.32,0.0,0.0743,0.059000000000000004,0.0,0.23800000000000002,0.833,129.514,audio_features,7fuTpm88DJR2Mh9RsuCGdX,spotify:track:7fuTpm88DJR2Mh9RsuCGdX,https://api.spotify.com/v1/tracks/7fuTpm88DJR2Mh9RsuCGdX,https://api.spotify.com/v1/audio-analysis/7fuTpm88DJR2Mh9RsuCGdX,140200.0,3.0
53,Iowa,Iowa,Damn Yankees,Piledriver,spotify:track:6dcMOtPITo2CztOQpBF313,24,1990,0.39299999999999996,0.879,2.0,-9.669,1.0,0.0953,0.00123,0.00162,0.171,0.12,127.853,audio_features,6dcMOtPITo2CztOQpBF313,spotify:track:6dcMOtPITo2CztOQpBF313,https://api.spotify.com/v1/tracks/6dcMOtPITo2CztOQpBF313,https://api.spotify.com/v1/audio-analysis/6dcMOtPITo2CztOQpBF313,267400.0,4.0
54,Iowa,Iowa,Afroman,Crazy Rap,spotify:track:1ACZpHI5vZ5Ea4xGlkdGWM,71,2001-08-28,0.927,0.36700000000000005,9.0,-7.797000000000001,1.0,0.382,0.325,0.0,0.132,0.5760000000000001,99.053,audio_features,1ACZpHI5vZ5Ea4xGlkdGWM,spotify:track:1ACZpHI5vZ5Ea4xGlkdGWM,https://api.spotify.com/v1/tracks/1ACZpHI5vZ5Ea4xGlkdGWM,https://api.spotify.com/v1/audio-analysis/1ACZpHI5vZ5Ea4xGlkdGWM,328667.0,4.0
55,Iowa,Iowa,Josh Ritter,The Curse,spotify:track:6WpSZXSsvf1iFUZRm5uD5T,40,2010-05-04,0.33399999999999996,0.32899999999999996,5.0,-10.05,1.0,0.0403,0.852,8.55e-05,0.135,0.337,177.09599999999998,audio_features,6WpSZXSsvf1iFUZRm5uD5T,spotify:track:6WpSZXSsvf1iFUZRm5uD5T,https://api.spotify.com/v1/tracks/6WpSZXSsvf1iFUZRm5uD5T,https://api.spotify.com/v1/audio-analysis/6WpSZXSsvf1iFUZRm5uD5T,303520.0,3.0
56,Iowa,Iowa,Ellis Paul,Goodbye Hollywood,spotify:track:6daHJEEu7FiyCsLnEyZJvk,0,2005-01-01,0.5710000000000001,0.419,0.0,-12.835,1.0,0.040999999999999995,0.342,2.92e-06,0.134,0.479,146.14700000000002,audio_features,6daHJEEu7FiyCsLnEyZJvk,spotify:track:6daHJEEu7FiyCsLnEyZJvk,https://api.spotify.com/v1/tracks/6daHJEEu7FiyCsLnEyZJvk,https://api.spotify.com/v1/audio-analysis/6daHJEEu7FiyCsLnEyZJvk,284427.0,4.0
57,Iowa,Iowa,Owl City,The 5th Of July,spotify:track:0g5cBpjngd4btah5tkPneh,41,2018-06-01,0.645,0.485,6.0,-8.943,1.0,0.0281,0.603,0.0191,0.0914,0.596,148.945,audio_features,0g5cBpjngd4btah5tkPneh,spotify:track:0g5cBpjngd4btah5tkPneh,https://api.spotify.com/v1/tracks/0g5cBpjngd4btah5tkPneh,https://api.spotify.com/v1/audio-analysis/0g5cBpjngd4btah5tkPneh,251983.0,3.0
58,Iowa,Iowa,Lil Durk,WhatYo City Like,spotify:track:0RkfxJwAp8x0M6bzVbe2Bh,41,2017-12-08,0.846,0.637,1.0,-7.434,1.0,0.327,0.0304,0.0,0.0974,0.561,158.082,audio_features,0RkfxJwAp8x0M6bzVbe2Bh,spotify:track:0RkfxJwAp8x0M6bzVbe2Bh,https://api.spotify.com/v1/tracks/0RkfxJwAp8x0M6bzVbe2Bh,https://api.spotify.com/v1/audio-analysis/0RkfxJwAp8x0M6bzVbe2Bh,172933.0,4.0
59,Iowa,Iowa,Bo Bice,Wild Roses,spotify:track:2CZvjpTA8P1bEgCz96waLo,4,2010-05-18,0.569,0.642,9.0,-2.676,1.0,0.0275,0.298,1.28e-05,0.0904,0.47600000000000003,126.029,audio_features,2CZvjpTA8P1bEgCz96waLo,spotify:track:2CZvjpTA8P1bEgCz96waLo,https://api.spotify.com/v1/tracks/2CZvjpTA8P1bEgCz96waLo,https://api.spotify.com/v1/audio-analysis/2CZvjpTA8P1bEgCz96waLo,244160.0,4.0
60,Iowa,Iowa,Afroman,Colt 45,spotify:track:1ACZpHI5vZ5Ea4xGlkdGWM,71,2001-08-28,0.927,0.36700000000000005,9.0,-7.797000000000001,1.0,0.382,0.325,0.0,0.132,0.5760000000000001,99.053,audio_features,1ACZpHI5vZ5Ea4xGlkdGWM,spotify:track:1ACZpHI5vZ5Ea4xGlkdGWM,https://api.spotify.com/v1/tracks/1ACZpHI5vZ5Ea4xGlkdGWM,https://api.spotify.com/v1/audio-analysis/1ACZpHI5vZ5Ea4xGlkdGWM,328667.0,4.0
61,Iowa,Iowa,Afroman,Crazy Rap (Colt 45 & 2 Zig Zags),spotify:track:1ACZpHI5vZ5Ea4xGlkdGWM,71,2001-08-28,0.927,0.36700000000000005,9.0,-7.797000000000001,1.0,0.382,0.325,0.0,0.132,0.5760000000000001,99.053,audio_features,1ACZpHI5vZ5Ea4xGlkdGWM,spotify:track:1ACZpHI5vZ5Ea4xGlkdGWM,https://api.spotify.com/v1/tracks/1ACZpHI5vZ5Ea4xGlkdGWM,https://api.spotify.com/v1/audio-analysis/1ACZpHI5vZ5Ea4xGlkdGWM,328667.0,4.0
62,Iowa,Iowa,Vincent Poag,New Orleans,spotify:track:6sGD7EAVXVhLbAQTGM6f8n,0,2014-04-08,0.6409999999999999,0.684,4.0,-5.207000000000001,0.0,0.0561,0.39,0.0,0.0708,0.6759999999999999,124.03,audio_features,6sGD7EAVXVhLbAQTGM6f8n,spotify:track:6sGD7EAVXVhLbAQTGM6f8n,https://api.spotify.com/v1/tracks/6sGD7EAVXVhLbAQTGM6f8n,https://api.spotify.com/v1/audio-analysis/6sGD7EAVXVhLbAQTGM6f8n,175120.0,3.0
