,state,city,song,artist
115, New York,New York City,8th Avenue (El Fin),Willie Colón
116, New York,New York City,8th Avenue Express,Mary Lou Williams Trio
117, New York,New York City,8th Avenue (In the Park),Willie Colón
118, New York,New York City,8th Avenue Shuffle,The Doobie Brothers
119, New York,New York City,82 VII 15 C. 6:357:35PM + C. 6:376:52PM NYC,La Monte Young & Marian Zazeela
120, New York,New York City,83rd & 4th,Zaine Griff
121, New York,New York City,86th Street,The Mob
122, New York,New York City,87th Street,New York Jazz Quartet
123, New York,New York City,88 Christopher Street,Dirt Bike Annie
124, New York,New York City,808 Beats,Unknown DJ
125, New York,New York City,9 A.M. (The Comfort Zone),Londonbeat
126, New York,New York City,93 Ave. B Blues,Swans (band)
127, New York,New York City,9th Ave. Limbo,Julee Cruise
128, New York,New York City,95 And A Half Avenue B New York New York,Maher Shalal Hash Baz
129, New York,New York City,97th & Columbus,Doc Powell
130, New York,New York City,97th & Columbus,Eric Gale
131, New York,New York City,,
132, New York,New York City,'A' Train Lady,Mink DeVille
133, New York,New York City,ATrain Rush Hour Stomp,The Third Rail (featuring Rusty Evans from The Deep (band))
134, New York,New York City,ABCs of New York,Princess Nokia
135, New York,New York City,Absolutely Avenue B,Sonny Vincent
136, New York,New York City,Accidentally 4th. St. (Gloria),Figures On A Beach
137, New York,New York City,The Acieed That Ate New York,Mark Imperial
138, New York,New York City,Across 110th Street Parts 1 & 2,Bob Womack
139, New York,New York City,Across 110th Street,El Barrio
140, New York,New York City,Adam in New York,Shorty Rogers
141, New York,New York City,Adams in the Apple,Pepper AdamsKnepper Quintet
142, New York,New York City,Add Value Add Time,Shilpa Ray
143, New York,New York City,A.E.I.O.U. (Sometimes Y),EBN/OZN
144, New York,New York City,Affair On 8th Avenue,Gordon Lightfoot
145, New York,New York City,Africa In Harlem,Bala
146, New York,New York City,Africa Unite,Bob Marley & The Wailers & will.i.am
147, New York,New York City,After JALC (Jazz At Lincoln Center),Ahmad Jamal
148, New York,New York City,Ain't It Hell Up in Harlem,Edwin Starr
149, New York,New York City,Ain't No Greens in Harlem,The Vibrations
150, New York,New York City,Ain't No Man Manhattan,"(from the musical ""If/Then"")"
151, New York,New York City,Ain't You Glad (New York),Jim Leverton & Geoffrey Richardson
152, New York,New York City,Albee Square Mall,Biz Markie
153, New York,New York City,Albee Square Mall,Skyzoo & Torae
154, New York,New York City,Alexander Hamilton,LinManuel Miranda
155, New York,New York City,Alex Chilton,The Replacements
156, New York,New York City,Alfie From The Bronx,Toy Dolls
157, New York,New York City,Alice,Mott The Hoople
158, New York,New York City,All Aboard for Broadway,(from the musical George M!)
159, New York,New York City,All Aboard for Times Square,[music  Dave Stamper; lyrics  Anne Caldwell and Gene Buck)
160, New York,New York City,All Alone in New York City,Tidbits
161, New York,New York City,All My Friends in New York,The Destructors
162, New York,New York City,All the Critics Love U in New York,Prince
163, New York,New York City,All The Way From New York,Wilson Phillips
164, New York,New York City,Allied Chemical Square,Jud Strunk
165, New York,New York City,The Alligator from West 15th,Richard Niles
166, New York,New York City,All's Quiet on West 23rd,The Jet Stream
167, New York,New York City,Already Home,A Great Big World
168, New York,New York City,Always N.Y.,"Mathematics, Buddah, Masta Killa, UGod, Icarus & Inspectah Deck"
169, New York,New York City,Am Broadway,Michael Holm
170, New York,New York City,Amateur Night in Harlem,Leonard Feather
171, New York,New York City,America,David Essex
172, New York,New York City,America (The Lady of the Harbor),The Dillards
173, New York,New York City,American Boy,Estelle feat. Kanye West
174, New York,New York City,American City Suite,Cashman & West
175, New York,New York City,Americanos,Holly Johnson
176, New York,New York City,An Open Letter to NYC,The Beastie Boys
177, New York,New York City,...And Brooklyn Almost Died,Terry Cashman
178, New York,New York City,Angel of Eighth Avenue,Mott The Hoople
179, New York,New York City,Angel of Harlem,U2
180, New York,New York City,Angela,(theme from TV show Taxi)  Bob James
181, New York,New York City,The Angels Sing in New York City,Modern Talking
182, New York,New York City,Another Hundred People,Stephen Sondheim
183, New York,New York City,Another Lonely Night in New York,Robin Gibb
184, New York,New York City,Another Rainy Day in New York City,Chicago
185, New York,New York City,Another Rainy Day in New York City,Bay City Rollers
186, New York,New York City,Anvil (Night Club School),Visage
187, New York,New York City,Any Night on Broadway,(from the musical revue The Passing Show of 1916)
188, New York,New York City,Any Night on Old Broadway (music  Jean Schwartz; lyrics  Harold Atteridge),
189, New York,New York City,Anything Can Happen in New York,(from the musical film Babes on Broadway)
190, New York,New York City,aNYway,Armand Van Helden & ATrak Present Duck Sauce
191, New York,New York City,Apollo Jump,Lucky Millinder
192, New York,New York City,Apparently Nothin',Young Disciples & Large Professor
193, New York,New York City,Apple Corps,Frankie Bones
194, New York,New York City,(The Apple) New York,Chub Jackson And His Orchestra
195, New York,New York City,Apple Pie,Michel Berger featuring Bill Withers
196, New York,New York City,The Apple Stretching,Grace Jones
197, New York,New York City,April in New York,Joachim Kühn
198, New York,New York City,A Room in New York,Lizzy Mercier Descloux
199, New York,New York City,Arcadia,Nowomowa
200, New York,New York City,Are You Ready For Some More?,Reel 2 Real
201, New York,New York City,Area Code 212,Carsten Bohn's Bandstand
202, New York,New York City,Around The World,(from Around the World in 80 Days (1956 film))
