,state,city,song,artist
0, Indiana,Gary,2300 Jackson Street  The Jacksons,
1, Indiana,Gary,"Gary, Indiana",from The Music Man
2, Indiana,Indianapolis,Indianapolis,Menudo
3, Indiana,Indianapolis,Mary Jane's Last Dance,Tom Petty
4, Indiana,Muncie,I Wanna Talk About Me,To Keith
