,Unnamed: 0,state,city,song,artist,uris,popularity,date,,,,,,,,,,,,,,,,,,,error
36,36, New Mexico,Tucumcari,Goode Tennessee,Jim Post,spotify:track:08g83Vsv5SGL8NuK94JvLr,4,1/1/97,,,,,,,,,,,,,,,,,,,
37,37, New Mexico,Tucumcari,Hungry Man,Louis Jordan,spotify:track:1tJinqXEWcCqRlJ9fVsmf1,6,3/20/07,,,,,,,,,,,,,,,,,,,
38,38, New Mexico,Tucumcari,I Don't Care,Justin Townes Earle,spotify:track:2ElL60w27sTQ4SaSEcXFO0,21,3/25/08,,,,,,,,,,,,,,,,,,,
39,39, New Mexico,Tucumcari,Il Treno a Tucumcari,Bloodhorse,spotify:track:0Leiz97oLnz3iFvRdWmtYO,1,7/24/07,,,,,,,,,,,,,,,,,,,
40,40, New Mexico,Tucumcari,Last Hobo,John Denver,spotify:track:5zWfU0cxr742qWXL8KbNyE,11,8/26/97,,,,,,,,,,,,,,,,,,,
41,41, New Mexico,Tucumcari,Ode to the Road,By Larry Gatlin,error,error,error,,,,,,,,,,,,,,,,,,,
42,42, New Mexico,Tucumcari,Route 40,Leslie Fish,error,error,error,,,,,,,,,,,,,,,,,,,
43,43, New Mexico,Tucumcari,Route 66,Perry Como,spotify:track:2OoEgzwoCVJ4LP4x86eBdG,0,12/2/11,,,,,,,,,,,,,,,,,,,
44,44, New Mexico,Tucumcari,Truckstop Gospel,Parker Millsap,spotify:track:148SoRvuBBJrp32LMS4aEk,30,2/4/14,,,,,,,,,,,,,,,,,,,
45,45, New Mexico,Tucumcari,Tucumcari,Cex,spotify:track:1O3D6X3TUTJbKejcPPH11n,1,1/1/06,,,,,,,,,,,,,,,,,,,
46,46, New Mexico,Tucumcari,Tucumcari,Freedy Johnston,error,error,error,,,,,,,,,,,,,,,,,,,
47,47, New Mexico,Tucumcari,Tucumcari,Hugues Aufray,spotify:track:0I5LIDeb1OquaJDzDyeE2q,0,5/15/19,,,,,,,,,,,,,,,,,,,
48,48, New Mexico,Tucumcari,Tucumcari,Jimmie Rodgers,spotify:track:1kkA3PE0tEezpqh7VYEo54,8,1990,,,,,,,,,,,,,,,,,,,
49,49, New Mexico,Tucumcari,Tucumcari,Randy Kaplan,spotify:track:1Tebw7GAicZGorAY6KizqC,0,1/1/08,,,,,,,,,,,,,,,,,,,
50,50, New Mexico,Tucumcari,"Tucumcari, Here I Come",Dale Watson,spotify:track:12txb2RWKAcNm5v3SJzPgY,4,7/7/01,,,,,,,,,,,,,,,,,,,
51,51, New Mexico,Tucumcari,Tucumcari Woman,Dan Roberts,spotify:track:0qvjywyKxvIpPmnUGQYmxb,1,8/1/04,,,,,,,,,,,,,,,,,,,
52,52, New Mexico,Tucumcari,Two-Gun Harry from Tucumcari,Dorothy Shay,spotify:track:7jcwlFGOfRfu4Z4mcYcu2y,0,3/22/19,,,,,,,,,,,,,,,,,,,
53,53, New Mexico,Tucumcari,Willin',Little Feat,spotify:track:0jMyU6bO52IYhAEoWbT4K9,60,1/1/72,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,
